Fiscal Year Range,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Description,Program Description,Account Type,Account Code,Account Category,Account Description,Amount,Project Code,Program Code,Budget Type,Budget Name,Amount as number
FY14-15,Police,Police Department,107110,Police Area 1,1010,General Fund: General Purpose,UNDETERMINED PROJECT,PATROL AREA 1,Expense,51214,Sworn Overtime,Sworn: Overtime,988660,0000000,PS11,2,Adjusted,988660
FY14-15,Police,Police Department,107210,Police Area 2,1010,General Fund: General Purpose,UNDETERMINED PROJECT,PATROL AREA 1,Expense,51214,Sworn Overtime,Sworn: Overtime,892070,0000000,PS11,2,Adjusted,892070
FY14-15,Police,Police Department,107310,Police Area 3,1010,General Fund: General Purpose,UNDETERMINED PROJECT,PATROL AREA 1,Expense,51214,Sworn Overtime,Sworn: Overtime,1126400,0000000,PS11,2,Adjusted,1126400
FY14-15,Police,Police Department,107410,Support Operations,1010,General Fund: General Purpose,PORT-JLS OT SECURITY SVC,SPECIAL OPERATIONS,Expense,51214,Sworn Overtime,Sworn: Overtime,160000,P51700,PS13,2,Adjusted,160000
FY14-15,Police,Police Department,107510,Traffic BFO,1010,General Fund: General Purpose,UNDETERMINED PROJECT,TRAFFIC OPERATIONS,Expense,51214,Sworn Overtime,Sworn: Overtime,641060,0000000,PS14,2,Adjusted,641060
FY14-15,Police,Police Department,107510,Traffic BFO,1010,General Fund: General Purpose,UNDETERMINED PROJECT,PATROL AREA 1,Expense,51214,Sworn Overtime,Sworn: Overtime,1698250,0000000,PS11,2,Adjusted,1698250
FY14-15,Police,Police Department,107510,Traffic BFO,1010,General Fund: General Purpose,EXTRA LEGAL LOAD TRANSP PROGRAM,TRAFFIC OPERATIONS,Expense,51214,Sworn Overtime,Sworn: Overtime,5000,P208110,PS14,2,Adjusted,5000
FY14-15,Police,Police Department,107510,Traffic BFO,1010,General Fund: General Purpose,STOP Project,TRAFFIC OPERATIONS,Expense,51214,Sworn Overtime,Sworn: Overtime,103500,A128910,PS14,2,Adjusted,103500
FY14-15,Police,Police Department,107510,Traffic BFO,1010,General Fund: General Purpose,UNDETERMINED PROJECT,SPECIAL OPERATIONS,Expense,51214,Sworn Overtime,Sworn: Overtime,991360,0000000,PS13,2,Adjusted,991360
FY14-15,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,PATROL AREA 1,Expense,51214,Sworn Overtime,Sworn: Overtime,1083300,0000000,PS11,2,Adjusted,1083300
FY14-15,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,SPECIAL OPERATIONS,Expense,51214,Sworn Overtime,Sworn: Overtime,-794460,0000000,PS13,2,Adjusted,-794460
FY14-15,Fire,Fire Department,20311,Fire Marshal's Office,2321,Wildland Fire Prevention Assess District,UNDETERMINED PROJECT,FIRE PREVENTION BUREAU,Expense,51214,Sworn Overtime,Sworn: Overtime,10000,0000000,PS23,2,Adjusted,10000
FY14-15,Fire,Fire Department,20411,Emergency / Suppression: Shift A,2251,Measure Y: Public Safety Act 2004,MSR Y FY10-11 LABOR COST,FIRE SUPPRESSION/FIELD OPERATIONS,Expense,51214,Sworn Overtime,Sworn: Overtime,4000000,P408510,PS17,2,Adjusted,4000000
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,UNDETERMINED PROJECT,AGENDA MANAGEMENT,Expense,51219,Civilian Overtime,Civilian: Overtime,11570,0000000,IP14,2,Adjusted,11570
FY14-15,Police,Police Department,107510,Traffic BFO,2172,Alameda County: Vehicle Abatement Authority,ABAN VEHICLE ABATEMENT,TRAFFIC OPERATIONS,Expense,51219,Civilian Overtime,Civilian: Overtime,45350,P36000,PS14,2,Adjusted,45350
FY14-15,Public Works,Public Works,30632,Facilities Services: Civic Center Complex,4400,City Facilities,UNDETERMINED PROJECT,FACILITIES MANAGEMENT & DEVELOPMENT,Expense,51219,Civilian Overtime,Civilian: Overtime,10420,0000000,IN02,2,Adjusted,10420
FY14-15,Public Works,Public Works,30674,Illegal Dumping,1720,Comprehensive Clean-up,UNDETERMINED PROJECT,KEEP OAKLAND CLEAN & BEAUTIFUL,Expense,51219,Civilian Overtime,Civilian: Overtime,66000,0000000,NB35,2,Adjusted,66000
FY14-15,Planning & Building,Planning & Building,84111,"Administration: Planning, Building & Neighborhood Preservation",2415,Development Service Fund,UNDETERMINED PROJECT,ENGINEERING & ARCHITECTURAL PLAN APPROVAL,Expense,51219,Civilian Overtime,Civilian: Overtime,162240,0000000,PS30,2,Adjusted,162240
FY14-15,Planning & Building,Planning & Building,84111,"Administration: Planning, Building & Neighborhood Preservation",2415,Development Service Fund,UNDETERMINED PROJECT,DEVELOPMENT PERMIT INSPECTIONS,Expense,51219,Civilian Overtime,Civilian: Overtime,102460,0000000,PS31,2,Adjusted,102460
FY14-15,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,UNDETERMINED PROJECT,CRIMINAL INVESTIGATIONS,Expense,51228,Sworn Overtime,Overtime: Canine Handlers,4370,0000000,PS03,2,Adjusted,4370
FY14-15,Police,Police Department,102350,Family Services Division,1010,General Fund: General Purpose,UNDETERMINED PROJECT,CRIMINAL INVESTIGATIONS,Expense,51228,Sworn Overtime,Overtime: Canine Handlers,4370,0000000,PS03,2,Adjusted,4370
FY14-15,Police,Police Department,107110,Police Area 1,1010,General Fund: General Purpose,UNDETERMINED PROJECT,PATROL AREA 1,Expense,51228,Sworn Overtime,Overtime: Canine Handlers,8740,0000000,PS11,2,Adjusted,8740
FY14-15,Police,Police Department,107210,Police Area 2,1010,General Fund: General Purpose,UNDETERMINED PROJECT,PATROL AREA 1,Expense,51228,Sworn Overtime,Overtime: Canine Handlers,13100,0000000,PS11,2,Adjusted,13100
FY14-15,Police,Police Department,107310,Police Area 3,1010,General Fund: General Purpose,UNDETERMINED PROJECT,PATROL AREA 1,Expense,51228,Sworn Overtime,Overtime: Canine Handlers,13100,0000000,PS11,2,Adjusted,13100
FY14-15,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,SPECIAL OPERATIONS,Expense,51228,Sworn Overtime,Overtime: Canine Handlers,13100,0000000,PS13,2,Adjusted,13100
FY14-15,Public Works,Public Works,30522,Electrical Services: Maintenance,2231,State Gas Tax-Prop 42 Replacement Funds,UNDETERMINED PROJECT,ELECTRICAL & ENERGY EFFICIENCY,Expense,51242,Civilian Overtime,Comp Day Award: Rep PP1,2260,0000000,IN07,2,Adjusted,2260
FY14-15,Public Works,Public Works,30655,Building Maintenance: Electrical / Painting,4400,City Facilities,UNDETERMINED PROJECT,FACILITIES MANAGEMENT & DEVELOPMENT,Expense,51242,Civilian Overtime,Comp Day Award: Rep PP1,900,0000000,IN02,2,Adjusted,900
FY14-15,City Council,City Council,111,District One,1010,General Fund: General Purpose,UNDETERMINED PROJECT,POLICY ANALYSIS,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",6600,0000000,IP52,2,Adjusted,6600
FY14-15,City Council,City Council,211,District Two,1010,General Fund: General Purpose,UNDETERMINED PROJECT,POLICY ANALYSIS,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",6600,0000000,IP52,2,Adjusted,6600
FY14-15,City Council,City Council,311,District Three,1010,General Fund: General Purpose,UNDETERMINED PROJECT,POLICY ANALYSIS,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",6600,0000000,IP52,2,Adjusted,6600
FY14-15,City Council,City Council,411,District Four,1010,General Fund: General Purpose,UNDETERMINED PROJECT,POLICY ANALYSIS,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",6600,0000000,IP52,2,Adjusted,6600
FY14-15,City Council,City Council,511,District Five,1010,General Fund: General Purpose,UNDETERMINED PROJECT,POLICY ANALYSIS,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",6600,0000000,IP52,2,Adjusted,6600
FY14-15,City Council,City Council,611,District Six,1010,General Fund: General Purpose,UNDETERMINED PROJECT,POLICY ANALYSIS,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",6600,0000000,IP52,2,Adjusted,6600
FY14-15,City Council,City Council,711,District Seven,1010,General Fund: General Purpose,UNDETERMINED PROJECT,POLICY ANALYSIS,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",6600,0000000,IP52,2,Adjusted,6600
FY14-15,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,UNDETERMINED PROJECT,POLICY ANALYSIS,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",6600,0000000,IP52,2,Adjusted,6600
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,UNDETERMINED PROJECT,MAYOR'S SUPPORT,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",9000,0000000,IP01,2,Adjusted,9000
FY14-15,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,UNDETERMINED PROJECT,ADMINISTRATION,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",27024,0000000,IP03,2,Adjusted,27024
FY14-15,City Administrator,Administration,2111,City Administrator: Administration,1610,Successor Redevelopment Agency Reimbursement Fund,SUCCESSOR AGENCY-ADMIN,ADMINISTRATION,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",2436,A453210,IP03,2,Adjusted,2436
FY14-15,City Administrator,Administration,2111,City Administrator: Administration,2251,Measure Y: Public Safety Act 2004,UNDETERMINED PROJECT,ADMINISTRATION,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",2100,0000000,IP03,2,Adjusted,2100
FY14-15,City Administrator,Administration,2111,City Administrator: Administration,2415,Development Service Fund,UNDETERMINED PROJECT,ADMINISTRATION,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",840,0000000,IP03,2,Adjusted,840
FY14-15,City Administrator,Neighborhood Services,2119,Neighborhood Services,2251,Measure Y: Public Safety Act 2004,FY 1213 MEAS Y DHS/CCNI,MEASURE Y,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",1650,G421252,PS37,2,Adjusted,1650
FY14-15,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,UNDETERMINED PROJECT,DCP ADMINISTRATION,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",4200,0000000,IP70,2,Adjusted,4200
FY14-15,City Administrator,Public Ethics,2711,Public Ethics,1010,General Fund: General Purpose,UNDETERMINED PROJECT,PUBLIC ETHICS COMMISSION,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",4200,0000000,IP11,2,Adjusted,4200
FY14-15,City Administrator,Other Services,2811,Budget Division,1010,General Fund: General Purpose,UNDETERMINED PROJECT,BUDGET ANALYSIS & OPERATIONS,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",2814,0000000,IP12,2,Adjusted,2814
FY14-15,City Administrator,Other Services,2811,Budget Division,1610,Successor Redevelopment Agency Reimbursement Fund,SUCCESSOR AGENCY-ADMIN,BUDGET ANALYSIS & OPERATIONS,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",1386,A453210,IP12,2,Adjusted,1386
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,UNDETERMINED PROJECT,AGENDA MANAGEMENT,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",3780,0000000,IP14,2,Adjusted,3780
FY14-15,City Clerk,City Clerk,3121,City Clerk,1610,Successor Redevelopment Agency Reimbursement Fund,SUCCESSOR AGENCY-ADMIN,AGENDA MANAGEMENT,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",420,A453210,IP14,2,Adjusted,420
FY14-15,City Attorney,City Attorney,4111,City Attorney: Administration,1010,General Fund: General Purpose,UNDETERMINED PROJECT,LEGAL SUPPORT & OPERATIONS,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",16205,0000000,IP19,2,Adjusted,16205
FY14-15,City Attorney,City Attorney,4111,City Attorney: Administration,1100,Self Insurance Liability,UNDETERMINED PROJECT,LEGAL SUPPORT & OPERATIONS,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",446,0000000,IP19,2,Adjusted,446
FY14-15,City Attorney,City Attorney,4211,Litigation,1010,General Fund: General Purpose,UNDETERMINED PROJECT,LITIGATION SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",825,0000000,IP17,2,Adjusted,825
FY14-15,City Attorney,City Attorney,4211,Litigation,1100,Self Insurance Liability,UNDETERMINED PROJECT,LITIGATION SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",15871,0000000,IP17,2,Adjusted,15871
FY14-15,City Attorney,City Attorney,4211,Litigation,1150,Worker's Compensation Insurance Claims,UNDETERMINED PROJECT,LITIGATION SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",1634,0000000,IP17,2,Adjusted,1634
FY14-15,City Attorney,City Attorney,4211,Litigation,2231,State Gas Tax-Prop 42 Replacement Funds,UNDETERMINED PROJECT,LITIGATION SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",330,0000000,IP17,2,Adjusted,330
FY14-15,City Attorney,City Attorney,4211,Litigation,2415,Development Service Fund,UNDETERMINED PROJECT,LITIGATION SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",1680,0000000,IP17,2,Adjusted,1680
FY14-15,City Attorney,City Attorney,4211,Litigation,2415,Development Service Fund,BLIGHT ABATEMENT PRGRM-DSF,LITIGATION SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",1470,P60420,IP17,2,Adjusted,1470
FY14-15,City Attorney,City Attorney,4211,Litigation,3100,Sewer Service Fund,UNDETERMINED PROJECT,LITIGATION SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",1592,0000000,IP17,2,Adjusted,1592
FY14-15,City Attorney,City Attorney,4311,Advisory,1010,General Fund: General Purpose,UNDETERMINED PROJECT,ADVISORY SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",8684,0000000,IP18,2,Adjusted,8684
FY14-15,City Attorney,City Attorney,4311,Advisory,1010,General Fund: General Purpose,DEEMED APPROVED ALCOHOL CONTRO,ADVISORY SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",1238,P46000,IP18,2,Adjusted,1238
FY14-15,City Attorney,City Attorney,4311,Advisory,1100,Self Insurance Liability,UNDETERMINED PROJECT,ADVISORY SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",5094,0000000,IP18,2,Adjusted,5094
FY14-15,City Attorney,City Attorney,4311,Advisory,1150,Worker's Compensation Insurance Claims,UNDETERMINED PROJECT,ADVISORY SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",1646,0000000,IP18,2,Adjusted,1646
FY14-15,City Attorney,City Attorney,4311,Advisory,1610,Successor Redevelopment Agency Reimbursement Fund,SUCCESSOR AGENCY-ADMIN,ADVISORY SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",825,A453210,IP18,2,Adjusted,825
FY14-15,City Attorney,City Attorney,4311,Advisory,1610,Successor Redevelopment Agency Reimbursement Fund,SUCCESSOR AGENCY-PROJECT,ADVISORY SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",13037,A453220,IP18,2,Adjusted,13037
FY14-15,City Attorney,City Attorney,4311,Advisory,1710,Recycling Program,UNDETERMINED PROJECT,ADVISORY SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",1650,0000000,IP18,2,Adjusted,1650
FY14-15,City Attorney,City Attorney,4311,Advisory,2108,HUD-CDBG,OCD ADMINISTRATION,ADVISORY SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",314,G05650,IP18,2,Adjusted,314
FY14-15,City Attorney,City Attorney,4311,Advisory,2211,Measure B: ACTIA,UNDETERMINED PROJECT,ADVISORY SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",215,0000000,IP18,2,Adjusted,215
FY14-15,City Attorney,City Attorney,4311,Advisory,2231,State Gas Tax-Prop 42 Replacement Funds,UNDETERMINED PROJECT,ADVISORY SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",1050,0000000,IP18,2,Adjusted,1050
FY14-15,City Attorney,City Attorney,4311,Advisory,2413,Rent Adjustment Program Fund,RENT ADJUSTMENT-FUND 2413,ADVISORY SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",3780,P190020,IP18,2,Adjusted,3780
FY14-15,City Attorney,City Attorney,4311,Advisory,2415,Development Service Fund,FORECLOSED REGISTRATION PROGRAM,ADVISORY SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",413,A456210,IP18,2,Adjusted,413
FY14-15,City Attorney,City Attorney,4311,Advisory,2415,Development Service Fund,BLIGHT ABATEMENT PRGRM-DSF,ADVISORY SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",1238,P60420,IP18,2,Adjusted,1238
FY14-15,City Attorney,City Attorney,4311,Advisory,2415,Development Service Fund,UNDETERMINED PROJECT,ADVISORY SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",630,0000000,IP18,2,Adjusted,630
FY14-15,City Attorney,City Attorney,4311,Advisory,3100,Sewer Service Fund,DEEMED APPROVED ALCOHOL CONTRO,ADVISORY SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",413,P46000,IP18,2,Adjusted,413
FY14-15,City Attorney,City Attorney,4311,Advisory,3100,Sewer Service Fund,UNDETERMINED PROJECT,ADVISORY SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",1403,0000000,IP18,2,Adjusted,1403
FY14-15,City Attorney,City Attorney,4311,Advisory,7100,Police and Fire Retirement System,UNDETERMINED PROJECT,ADVISORY SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",660,0000000,IP18,2,Adjusted,660
FY14-15,City Attorney,City Attorney,4311,Advisory,7120,Oakland Municipal Employees' Retirement System OMERS,UNDETERMINED PROJECT,ADVISORY SERVICES,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",165,0000000,IP18,2,Adjusted,165
FY14-15,Human Resources Management,Human Resources Management,5111,Personnel Administration and Information,1010,General Fund: General Purpose,UNDETERMINED PROJECT,HUMAN RESOURCE MANAGEMENT,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",3066,0000000,IP61,2,Adjusted,3066
FY14-15,Human Resources Management,Human Resources Management,5111,Personnel Administration and Information,1150,Worker's Compensation Insurance Claims,UNDETERMINED PROJECT,HUMAN RESOURCE MANAGEMENT,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",966,0000000,IP61,2,Adjusted,966
FY14-15,Human Resources Management,Human Resources Management,5111,Personnel Administration and Information,7130,Employee Deferred Compensation,UNDETERMINED PROJECT,HUMAN RESOURCE MANAGEMENT,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",168,0000000,IP61,2,Adjusted,168
FY14-15,Human Resources Management,Human Resources Management,5621,Risk Management,1150,Worker's Compensation Insurance Claims,UNDETERMINED PROJECT,RISK MANAGEMENT,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",1650,0000000,IP08,2,Adjusted,1650
FY14-15,Human Resources Management,Human Resources Management,5621,Risk Management,1150,Worker's Compensation Insurance Claims,UNDETERMINED PROJECT,HUMAN RESOURCE MANAGEMENT,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",3780,0000000,IP61,2,Adjusted,3780
FY14-15,Human Resources Management,Human Resources Management,5621,Risk Management,7130,Employee Deferred Compensation,UNDETERMINED PROJECT,HUMAN RESOURCE MANAGEMENT,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",420,0000000,IP61,2,Adjusted,420
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,UNDETERMINED PROJECT,AUDITING,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",6600,0000000,IP54,2,Adjusted,6600
FY14-15,Finance,Controller's Office,8211,Accounting:  Administration,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",3360,0000000,IP59,2,Adjusted,3360
FY14-15,Finance,Controller's Office,8211,Accounting:  Administration,1610,Successor Redevelopment Agency Reimbursement Fund,SUCCESSOR AGENCY-ADMIN,FINANCIAL MANAGEMENT,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",840,A453210,IP59,2,Adjusted,840
FY14-15,Finance,Controller's Office,8241,Accounts Payable,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",2100,0000000,IP59,2,Adjusted,2100
FY14-15,Finance,Controller's Office,8242,Stores Operations,4500,Central Stores,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",2100,0000000,IP59,2,Adjusted,2100
FY14-15,Finance,Revenue,8411,Revenue: Administration,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",3024,0000000,IP59,2,Adjusted,3024
FY14-15,Finance,Revenue,8411,Revenue: Administration,1700,Mandatory Refuse Program,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",756,0000000,IP59,2,Adjusted,756
FY14-15,Finance,Revenue,8411,Revenue: Administration,2413,Rent Adjustment Program Fund,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",420,0000000,IP59,2,Adjusted,420
FY14-15,Finance,Treasury,8711,Treasury: Administration,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",2100,0000000,IP59,2,Adjusted,2100
FY14-15,Finance,Treasury,8711,Treasury: Administration,1610,Successor Redevelopment Agency Reimbursement Fund,SUCCESSOR AGENCY-ADMIN,FINANCIAL MANAGEMENT,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",420,A453210,IP59,2,Adjusted,420
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",2940,0000000,IP59,2,Adjusted,2940
FY14-15,Finance,Treasury,8721,Treasury: Operations,1610,Successor Redevelopment Agency Reimbursement Fund,SUCCESSOR AGENCY-ADMIN,FINANCIAL MANAGEMENT,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",1260,A453210,IP59,2,Adjusted,1260
FY14-15,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",4200,0000000,IP59,2,Adjusted,4200
FY14-15,Finance,Treasury,8751,Retirement,7100,Police and Fire Retirement System,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",1680,0000000,IP59,2,Adjusted,1680
FY14-15,Police,Police Department,102610,Criminalistics,1010,General Fund: General Purpose,UNDETERMINED PROJECT,CRIMINALISTICS,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",4200,0000000,PS05,2,Adjusted,4200
FY14-15,Police,Police Department,103310,Communications,1010,General Fund: General Purpose,UNDETERMINED PROJECT,COMMUNICATIONS,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",4200,0000000,PS08,2,Adjusted,4200
FY14-15,Fire,Fire Department,20521,Budget Unit,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FIRE DEPARTMENT ADMINISTRATION,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",9000,0000000,PS15,2,Adjusted,9000
FY14-15,Public Works,Public Works,30111,Director's Office,7760,Grant Clearing,PWA OVERHEAD CLEARING,ADMINISTRATION-TO BE ALLOCATED,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",8400,A167710,AD01,2,Adjusted,8400
FY14-15,Public Works,Public Works,30112,Human Resources,1150,Worker's Compensation Insurance Claims,UNDETERMINED PROJECT,ADMINISTRATION-TO BE ALLOCATED,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",1463,0000000,AD01,2,Adjusted,1463
FY14-15,Public Works,Public Works,30112,Human Resources,7760,Grant Clearing,PWA OVERHEAD CLEARING,ADMINISTRATION-TO BE ALLOCATED,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",7688,A167710,AD01,2,Adjusted,7688
FY14-15,Public Works,Public Works,30121,PWA Fiscal Services,7760,Grant Clearing,PWA OVERHEAD CLEARING,ADMINISTRATION-TO BE ALLOCATED,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",4200,A167710,AD01,2,Adjusted,4200
FY14-15,Public Works,Public Works,30131,Public Works Call Center,3100,Sewer Service Fund,UNDETERMINED PROJECT,ADMINISTRATION-TO BE ALLOCATED,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",1650,0000000,AD01,2,Adjusted,1650
FY14-15,Public Works,Public Works,30211,Engineering & Construction: Admin,3100,Sewer Service Fund,MEASURE DD ADMIN-B,PROJECT DELIVERY,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",840,C396110,IN06,2,Adjusted,840
FY14-15,Public Works,Public Works,30211,Engineering & Construction: Admin,5321,"Measure DD: 2009B Clean Water,Safe Parks & Open Space Trust Fund for Oakland",MEASURE DD ADMIN-B,PROJECT DELIVERY,Expense,51313,Allowances & Premiums,"Allowance: Auto Flat (1, 2, Partially 3)",3360,C396110,IN06,2,Adjusted,3360
