Fiscal Year Range,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Code,Project Description,Program Code,Program Description,Account Code,Account Description,Account Category,Amount,Budget Type,Budget Name,Amount as number
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51111,Civilian: Regular,Civilian Salaries,354599,1,Adopted,354599
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51313,"Allowance: Auto Flat (1, 2, Partially 3)",Allowances & Premiums,2940,1,Adopted,2940
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51511,Civilian: Paid Leave Charge,Civilian Salaries,105322,1,Adopted,105322
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51611,Civilian: Retirement Accrual,Civilian Retirement,151497,1,Adopted,151497
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,178955,1,Adopted,178955
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,52211,Stationery and Office Supplies,Services & Supplies,6880,1,Adopted,6880
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,52212,"Minor Furniture and Office Equipment (No Asset Number, Not Capitalized)",Services & Supplies,70,1,Adopted,70
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",Services & Supplies,6980,1,Adopted,6980
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,52614,Books,Services & Supplies,400,1,Adopted,400
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,52911,Bottled Water and Food for Human Consumption,Services & Supplies,290,1,Adopted,290
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,52919,Supplies: Miscellaneous and Commodities,Services & Supplies,10000,1,Adopted,10000
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,52921,Miscellaneous Operating Expenditures,Services & Supplies,5280,1,Adopted,5280
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,53116,Telephone,Services & Supplies,11000,1,Adopted,11000
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,53219,Rental: Miscellaneous,Services & Supplies,3130,1,Adopted,3130
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,53313,Official Hospitality,Services & Supplies,140,1,Adopted,140
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,53411,Insurance and Bonding,Services & Supplies,5000,1,Adopted,5000
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,53611,Postage and Mailing,Services & Supplies,5600,1,Adopted,5600
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,54611,Repair and Maintenance: Machinery and Equipment,Contract Services,1400,1,Adopted,1400
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,54711,Printing and Duplicating Services,Contract Services,9500,1,Adopted,9500
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,54721,Advertising: Legal,Contract Services,3000,1,Adopted,3000
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,54723,Advertising: Display,Contract Services,1510,1,Adopted,1510
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,54919,Services: Miscellaneous Contract,Contract Services,5340,1,Adopted,5340
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,54924,Services: County Administrative Cost & Commission,Contract Services,1244188,1,Adopted,1244188
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,55112,Commercial Transportation,Travel & Education,4300,1,Adopted,4300
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,55113,Meals,Travel & Education,1500,1,Adopted,1500
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,55114,Per Diem and Lodging,Travel & Education,5000,1,Adopted,5000
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",Travel & Education,2600,1,Adopted,2600
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,55211,Periodical Subscriptions,Travel & Education,1000,1,Adopted,1000
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,55212,Registration and Tuition,Travel & Education,5000,1,Adopted,5000
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,55219,Miscellaneous Educational Expenditures,Travel & Education,6100,1,Adopted,6100
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,55311,Memberships: Employee Association Dues,Travel & Education,1300,1,Adopted,1300
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,56312,Duplicating,Internal Services & Work Orders,2500,1,Adopted,2500
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,58111,Bank and Bond Expenditures,Debt Payments,300000,1,Adopted,300000
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,58112,Bank and Credit Card Fees,Debt Payments,250000,1,Adopted,250000
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,1TYM,ONE,59312,Operating Transfers Out: Other,Operating Transfers,1100000,1,Adopted,1100000
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,62236,City Accounting Recoveries,Recoveries,-1518476,1,Adopted,-1518476
FY15-16,Revenue,Finance,Treasury,8721,Treasury: Operations,1200,Pension Override Tax Revenue,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,43211,Penalties: General Property Tax,Fines & Penalties,200000,1,Adopted,200000
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1610,Successor Redevelopment Agency Reimbursement Fund,A453210,SUCCESSOR AGENCY,IP59,FINANCIAL MANAGEMENT,51111,Civilian: Regular,Civilian Salaries,56811,1,Adopted,56811
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1610,Successor Redevelopment Agency Reimbursement Fund,A453210,SUCCESSOR AGENCY,IP59,FINANCIAL MANAGEMENT,51313,"Allowance: Auto Flat (1, 2, Partially 3)",Allowances & Premiums,1260,1,Adopted,1260
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1610,Successor Redevelopment Agency Reimbursement Fund,A453210,SUCCESSOR AGENCY,IP59,FINANCIAL MANAGEMENT,51511,Civilian: Paid Leave Charge,Civilian Salaries,16875,1,Adopted,16875
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1610,Successor Redevelopment Agency Reimbursement Fund,A453210,SUCCESSOR AGENCY,IP59,FINANCIAL MANAGEMENT,51611,Civilian: Retirement Accrual,Civilian Retirement,24272,1,Adopted,24272
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,1610,Successor Redevelopment Agency Reimbursement Fund,A453210,SUCCESSOR AGENCY,IP59,FINANCIAL MANAGEMENT,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,28671,1,Adopted,28671
FY15-16,Revenue,Finance,Treasury,8721,Treasury: Operations,1750,Multipurpose Reserve,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,44112,Interest: Investments,Interest Income,-25000,1,Adopted,-25000
FY15-16,Revenue,Finance,Treasury,8721,Treasury: Operations,2211,Measure B: Local Streets & Roads,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,44112,Interest: Investments,Interest Income,10920,1,Adopted,10920
FY15-16,Revenue,Finance,Treasury,8721,Treasury: Operations,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,41221,Voter-Approved: Public Safety Act / 2004 Measure Y,Local Tax,15978438,1,Adopted,15978438
FY15-16,Revenue,Finance,Treasury,8721,Treasury: Operations,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,41519,Local Taxes: Parking,Parking Tax,8679583,1,Adopted,8679583
FY15-16,Revenue,Finance,Treasury,8721,Treasury: Operations,2310,Lighting and Landscape Assessment District,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,41518,Local Taxes: Lighting/Landscaping Assessment,Local Tax,19300000,1,Adopted,19300000
FY15-16,Revenue,Finance,Treasury,8721,Treasury: Operations,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,44112,Interest: Investments,Interest Income,100000,1,Adopted,100000
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,58111,Bank and Bond Expenditures,Debt Payments,5000,1,Adopted,5000
FY15-16,Revenue,Finance,Treasury,8721,Treasury: Operations,4400,City Facilities,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,44112,Interest: Investments,Interest Income,-75000,1,Adopted,-75000
FY15-16,Revenue,Finance,Treasury,8721,Treasury: Operations,5130,Rockridge: Library Assessment District,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,41520,Local Taxes: Voter-Approved Special Tax,Local Tax,134420,1,Adopted,134420
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,5130,Rockridge: Library Assessment District,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,59314,Operating Transfers Out: Contributions to Fund Balance (Budget Only),Contributions to Fund Balances,131100,1,Adopted,131100
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,6587,2012 Refunding Reassessment Bonds-Debt Service,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51111,Civilian: Regular,Civilian Salaries,28423,1,Adopted,28423
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,6587,2012 Refunding Reassessment Bonds-Debt Service,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51511,Civilian: Paid Leave Charge,Civilian Salaries,8442,1,Adopted,8442
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,6587,2012 Refunding Reassessment Bonds-Debt Service,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51611,Civilian: Retirement Accrual,Civilian Retirement,12143,1,Adopted,12143
FY15-16,Expense,Finance,Treasury,8721,Treasury: Operations,6587,2012 Refunding Reassessment Bonds-Debt Service,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,14344,1,Adopted,14344
FY15-16,Expense,Finance,Treasury,8731,Treasury: Cashiering,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51111,Civilian: Regular,Civilian Salaries,32504,1,Adopted,32504
FY15-16,Expense,Finance,Treasury,8731,Treasury: Cashiering,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51511,Civilian: Paid Leave Charge,Civilian Salaries,9654,1,Adopted,9654
FY15-16,Expense,Finance,Treasury,8731,Treasury: Cashiering,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51611,Civilian: Retirement Accrual,Civilian Retirement,13887,1,Adopted,13887
FY15-16,Expense,Finance,Treasury,8731,Treasury: Cashiering,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,16404,1,Adopted,16404
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51111,Civilian: Regular,Civilian Salaries,686183,1,Adopted,686183
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51313,"Allowance: Auto Flat (1, 2, Partially 3)",Allowances & Premiums,7350,1,Adopted,7350
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51511,Civilian: Paid Leave Charge,Civilian Salaries,203807,1,Adopted,203807
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51611,Civilian: Retirement Accrual,Civilian Retirement,293163,1,Adopted,293163
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,346295,1,Adopted,346295
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,52211,Stationery and Office Supplies,Services & Supplies,4000,1,Adopted,4000
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",Services & Supplies,2000,1,Adopted,2000
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,52614,Books,Services & Supplies,240,1,Adopted,240
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,53116,Telephone,Services & Supplies,6400,1,Adopted,6400
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,53611,Postage and Mailing,Services & Supplies,6000,1,Adopted,6000
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,54611,Repair and Maintenance: Machinery and Equipment,Contract Services,3310,1,Adopted,3310
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,54919,Services: Miscellaneous Contract,Contract Services,4210,1,Adopted,4210
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,55112,Commercial Transportation,Travel & Education,500,1,Adopted,500
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,55113,Meals,Travel & Education,1400,1,Adopted,1400
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,55114,Per Diem and Lodging,Travel & Education,1500,1,Adopted,1500
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",Travel & Education,2500,1,Adopted,2500
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,55211,Periodical Subscriptions,Travel & Education,1000,1,Adopted,1000
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,55212,Registration and Tuition,Travel & Education,2900,1,Adopted,2900
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,55219,Miscellaneous Educational Expenditures,Travel & Education,2000,1,Adopted,2000
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,55311,Memberships: Employee Association Dues,Travel & Education,740,1,Adopted,740
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,55312,Memberships: City,Travel & Education,1330,1,Adopted,1330
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,62236,City Accounting Recoveries,Recoveries,-25000,1,Adopted,-25000
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1610,Successor Redevelopment Agency Reimbursement Fund,A453210,SUCCESSOR AGENCY,IP59,FINANCIAL MANAGEMENT,51111,Civilian: Regular,Civilian Salaries,44046,1,Adopted,44046
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1610,Successor Redevelopment Agency Reimbursement Fund,A453210,SUCCESSOR AGENCY,IP59,FINANCIAL MANAGEMENT,51313,"Allowance: Auto Flat (1, 2, Partially 3)",Allowances & Premiums,1050,1,Adopted,1050
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1610,Successor Redevelopment Agency Reimbursement Fund,A453210,SUCCESSOR AGENCY,IP59,FINANCIAL MANAGEMENT,51511,Civilian: Paid Leave Charge,Civilian Salaries,13083,1,Adopted,13083
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1610,Successor Redevelopment Agency Reimbursement Fund,A453210,SUCCESSOR AGENCY,IP59,FINANCIAL MANAGEMENT,51611,Civilian: Retirement Accrual,Civilian Retirement,18818,1,Adopted,18818
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,1610,Successor Redevelopment Agency Reimbursement Fund,A453210,SUCCESSOR AGENCY,IP59,FINANCIAL MANAGEMENT,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,22229,1,Adopted,22229
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,2415,Development Service Fund,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51111,Civilian: Regular,Civilian Salaries,21590,1,Adopted,21590
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,2415,Development Service Fund,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51511,Civilian: Paid Leave Charge,Civilian Salaries,6413,1,Adopted,6413
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,2415,Development Service Fund,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51611,Civilian: Retirement Accrual,Civilian Retirement,9224,1,Adopted,9224
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,2415,Development Service Fund,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,10896,1,Adopted,10896
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,4200,Radio / Telecommunications,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51111,Civilian: Regular,Civilian Salaries,19347,1,Adopted,19347
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,4200,Radio / Telecommunications,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51511,Civilian: Paid Leave Charge,Civilian Salaries,5747,1,Adopted,5747
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,4200,Radio / Telecommunications,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51611,Civilian: Retirement Accrual,Civilian Retirement,8266,1,Adopted,8266
FY15-16,Expense,Finance,Treasury,8741,Treasury: Payroll,4200,Radio / Telecommunications,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,9764,1,Adopted,9764
FY15-16,Expense,Finance,Treasury,8751,Retirement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51111,Civilian: Regular,Civilian Salaries,10005,1,Adopted,10005
FY15-16,Expense,Finance,Treasury,8751,Retirement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP61,HUMAN RESOURCE MANAGEMENT,51111,Civilian: Regular,Civilian Salaries,38590,1,Adopted,38590
FY15-16,Expense,Finance,Treasury,8751,Retirement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51511,Civilian: Paid Leave Charge,Civilian Salaries,2971,1,Adopted,2971
FY15-16,Expense,Finance,Treasury,8751,Retirement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP61,HUMAN RESOURCE MANAGEMENT,51511,Civilian: Paid Leave Charge,Civilian Salaries,11462,1,Adopted,11462
FY15-16,Expense,Finance,Treasury,8751,Retirement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51611,Civilian: Retirement Accrual,Civilian Retirement,4274,1,Adopted,4274
FY15-16,Expense,Finance,Treasury,8751,Retirement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP61,HUMAN RESOURCE MANAGEMENT,51611,Civilian: Retirement Accrual,Civilian Retirement,16487,1,Adopted,16487
FY15-16,Expense,Finance,Treasury,8751,Retirement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP61,HUMAN RESOURCE MANAGEMENT,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,19475,1,Adopted,19475
FY15-16,Expense,Finance,Treasury,8751,Retirement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,5049,1,Adopted,5049
FY15-16,Expense,Finance,Treasury,8751,Retirement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP61,HUMAN RESOURCE MANAGEMENT,52211,Stationery and Office Supplies,Services & Supplies,10,1,Adopted,10
FY15-16,Expense,Finance,Treasury,8751,Retirement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,56123,City Accounting Services,Internal Services & Work Orders,780,1,Adopted,780
FY15-16,Expense,Finance,Treasury,8751,Retirement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,56124,City Contract Compliance Dept-Purchasing Services,Internal Services & Work Orders,6800,1,Adopted,6800
FY15-16,Expense,Finance,Treasury,8751,Retirement,1150,Worker's Compensation Insurance Claims,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,56123,City Accounting Services,Internal Services & Work Orders,30,1,Adopted,30
FY15-16,Revenue,Finance,Treasury,8751,Retirement,7100,Police and Fire Retirement System,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,49112,Transfers from Undesignated Fund Balance,Transfers from Fund Balance,3061924,1,Adopted,3061924
FY15-16,Expense,Finance,Treasury,8751,Retirement,7100,Police and Fire Retirement System,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51111,Civilian: Regular,Civilian Salaries,259297,1,Adopted,259297
FY15-16,Expense,Finance,Treasury,8751,Retirement,7100,Police and Fire Retirement System,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51429,Premium: Notary Public Pay,Allowances & Premiums,680,1,Adopted,680
FY15-16,Expense,Finance,Treasury,8751,Retirement,7100,Police and Fire Retirement System,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51511,Civilian: Paid Leave Charge,Civilian Salaries,77015,1,Adopted,77015
FY15-16,Expense,Police,Police Department,101120,Internal Affairs,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS11,PATROL AREA 1,51411,Shift Pay,Allowances & Premiums,29436,1,Adopted,29436
FY15-16,Expense,Finance,Treasury,8751,Retirement,7100,Police and Fire Retirement System,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51611,Civilian: Retirement Accrual,Civilian Retirement,110782,1,Adopted,110782
FY15-16,Expense,Finance,Treasury,8751,Retirement,7100,Police and Fire Retirement System,0,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,130859,1,Adopted,130859
