Fiscal Year Range,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Code,Project Description,Program Code,Program Description,Account Type,Account Category,Account Code,Account Description,Amount,Budget Type,Budget Name,Amount as number
FY14-15,Fire,Fire Department,20816, Fire: Support Services,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,PS26,EMERGENCY RESPONSE SUPPORT SERVICES,Expense,Services & Supplies,52811,Supplies: Vehicle Accessories and Electrical,3000,1,Adopted,3000
FY14-15,Fire,Fire Department,20816, Fire: Support Services,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,PS26,EMERGENCY RESPONSE SUPPORT SERVICES,Expense,Services & Supplies,52911,Bottled Water and Food for Human Consumption,-1300,1,Adopted,-1300
FY14-15,Fire,Fire Department,20816, Fire: Support Services,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,PS26,EMERGENCY RESPONSE SUPPORT SERVICES,Expense,Services & Supplies,52912,Clothing,254710,1,Adopted,254710
FY14-15,Fire,Fire Department,20816, Fire: Support Services,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,PS26,EMERGENCY RESPONSE SUPPORT SERVICES,Expense,Services & Supplies,52914,Minor Tools and Equipment,278150,1,Adopted,278150
FY14-15,Fire,Fire Department,20816, Fire: Support Services,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,PS26,EMERGENCY RESPONSE SUPPORT SERVICES,Expense,Services & Supplies,52919,Supplies: Miscellaneous and Commodities,4100,1,Adopted,4100
FY14-15,Fire,Fire Department,20816, Fire: Support Services,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,PS26,EMERGENCY RESPONSE SUPPORT SERVICES,Expense,Services & Supplies,53116,Telephone,36000,1,Adopted,36000
FY14-15,Fire,Fire Department,20816, Fire: Support Services,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,PS26,EMERGENCY RESPONSE SUPPORT SERVICES,Expense,Services & Supplies,53611,Postage and Mailing,2200,1,Adopted,2200
FY14-15,Fire,Fire Department,20816, Fire: Support Services,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,PS26,EMERGENCY RESPONSE SUPPORT SERVICES,Expense,Travel & Education,55112,Commercial Transportation,1500,1,Adopted,1500
FY14-15,Fire,Fire Department,20816, Fire: Support Services,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,PS26,EMERGENCY RESPONSE SUPPORT SERVICES,Expense,Internal Services & Work Orders,56411,City Vehicle Rentals,3106597,1,Adopted,3106597
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2124,Federal Emergency Management Agency (FEMA),G426010 , 2012 MMRS GRANT,PS19,EMERGENCY MEDICAL RESPONSE,Revenue,Grants & Subsidies,46129,City Oakland Grant: Miscellaneous Federal,84106,1,Adopted,84106
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Revenue,Local Tax,41520,Local Taxes: Voter-Approved Special Tax,1770793,1,Adopted,1770793
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Revenue,Service Charges,45419,Other Fees: Miscellaneous,1900,1,Adopted,1900
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Civilian Salaries,51111,Civilian: Regular,365777,1,Adopted,365777
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Civilian Salaries,51122,Temporary: Regular Part Time,65782,1,Adopted,65782
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,101072,1,Adopted,101072
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,135852,1,Adopted,135852
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,189737,1,Adopted,189737
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Civilian Retirement,51627,Retirement Contributions,2467,1,Adopted,2467
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Services & Supplies,52211,Stationery and Office Supplies,20003,1,Adopted,20003
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Services & Supplies,52212,"Minor Furniture and Office Equipment (No Asset Number, Not Capitalized)",16500,1,Adopted,16500
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Services & Supplies,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",26276,1,Adopted,26276
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Services & Supplies,52911,Bottled Water and Food for Human Consumption,700,1,Adopted,700
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Services & Supplies,52912,Clothing,8900,1,Adopted,8900
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Services & Supplies,52913,Supplies: Technical and Scientific,60140,1,Adopted,60140
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Services & Supplies,52919,Supplies: Miscellaneous and Commodities,394532,1,Adopted,394532
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Services & Supplies,53116,Telephone,16660,1,Adopted,16660
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Services & Supplies,53211,Rental: Land and Building,17000,1,Adopted,17000
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Services & Supplies,53719,Miscellaneous Services,32000,1,Adopted,32000
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Travel & Education,55212,Registration and Tuition,25000,1,Adopted,25000
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Travel & Education,55311,Memberships: Employee Association Dues,500,1,Adopted,500
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Internal Services & Work Orders,56123,City Accounting Services,670,1,Adopted,670
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Internal Services & Work Orders,56124,City Contract Compliance Dept-Purchasing Services,1681,1,Adopted,1681
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Internal Services & Work Orders,56312,Duplicating,3720,1,Adopted,3720
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Capital Acquistions,57711,"Computer Equipment (Over $5,000)",6350,1,Adopted,6350
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2250,Measure N: Fund,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Overhead Allocations,58522,Overhead: Central Services Cost Allocation,59495,1,Adopted,59495
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2412,Alameda County: Emergency Dispatch Service Supplemental Assessment,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Civilian Salaries,51111,Civilian: Regular,80367,1,Adopted,80367
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2412,Alameda County: Emergency Dispatch Service Supplemental Assessment,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,22207,1,Adopted,22207
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2412,Alameda County: Emergency Dispatch Service Supplemental Assessment,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,29849,1,Adopted,29849
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2412,Alameda County: Emergency Dispatch Service Supplemental Assessment,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,40568,1,Adopted,40568
FY14-15,Fire,Fire Department,20912, Measure N - Paramedic,2412,Alameda County: Emergency Dispatch Service Supplemental Assessment,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Overhead Allocations,58522,Overhead: Central Services Cost Allocation,11458,1,Adopted,11458
FY14-15,Fire,Fire Department,20913, EMS Training,2124,Federal Emergency Management Agency (FEMA),G426010 , 2012 MMRS GRANT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Civilian Salaries,51111,Civilian: Regular,42296,1,Adopted,42296
FY14-15,Fire,Fire Department,20913, EMS Training,2124,Federal Emergency Management Agency (FEMA),G426010 , 2012 MMRS GRANT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,11687,1,Adopted,11687
FY14-15,Fire,Fire Department,20913, EMS Training,2124,Federal Emergency Management Agency (FEMA),G426010 , 2012 MMRS GRANT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,15709,1,Adopted,15709
FY14-15,Fire,Fire Department,20913, EMS Training,2124,Federal Emergency Management Agency (FEMA),G426010 , 2012 MMRS GRANT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,21350,1,Adopted,21350
FY14-15,Fire,Fire Department,20913, EMS Training,2146,California State Emergency Services,G424110 , 2010  MMRS GRANT,PS21,OFFICE OF EMERGENCY SERVICES/HOMELAND SECURITY,Revenue,Grants & Subsidies,46129,City Oakland Grant: Miscellaneous Federal,55063,1,Adopted,55063
FY14-15,Fire,Fire Department,20913, EMS Training,2160,County of Alameda: Grants,G176410 , 1ST RES ADVANCE LIFE SUPPORT,PS19,EMERGENCY MEDICAL RESPONSE,Revenue,Grants & Subsidies,46319,County Grant: Miscellaneous Alameda County Grants,953515,1,Adopted,953515
FY14-15,Fire,Fire Department,20913, EMS Training,2160,County of Alameda: Grants,0000000 , UNDETERMINED PROJECT,PS19,EMERGENCY MEDICAL RESPONSE,Revenue,Grants & Subsidies,46319,County Grant: Miscellaneous Alameda County Grants,752,1,Adopted,752
FY14-15,Fire,Fire Department,20913, EMS Training,2160,County of Alameda: Grants,G176410 , 1ST RES ADVANCE LIFE SUPPORT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Services & Supplies,52913,Supplies: Technical and Scientific,350000,1,Adopted,350000
FY14-15,Fire,Fire Department,20913, EMS Training,2160,County of Alameda: Grants,G176410 , 1ST RES ADVANCE LIFE SUPPORT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Services & Supplies,52919,Supplies: Miscellaneous and Commodities,523515,1,Adopted,523515
FY14-15,Fire,Fire Department,20913, EMS Training,2160,County of Alameda: Grants,G176410 , 1ST RES ADVANCE LIFE SUPPORT,PS19,EMERGENCY MEDICAL RESPONSE,Expense,Services & Supplies,53611,Postage and Mailing,80000,1,Adopted,80000
FY14-15,Public Works,Public Works,30111, Director's Office,1100,Self Insurance Liability,0000000 , UNDETERMINED PROJECT,IP40,"SAFETY, LIABILITY, & COMPLIANCE",Revenue,Interfund Transfers,49212,Operating Transfers: Other,3524791,1,Adopted,3524791
FY14-15,Public Works,Public Works,30111, Director's Office,1100,Self Insurance Liability,0000000 , UNDETERMINED PROJECT,IP40,"SAFETY, LIABILITY, & COMPLIANCE",Expense,Services & Supplies,53412,Settlement: Claims,4524821,1,Adopted,4524821
FY14-15,Public Works,Public Works,30111, Director's Office,1720,Comprehensive Clean-up,0000000 , UNDETERMINED PROJECT,IP40,"SAFETY, LIABILITY, & COMPLIANCE",Expense,Operating Transfers,59312,Operating Transfers Out: Other,200000,1,Adopted,200000
FY14-15,Public Works,Public Works,30111, Director's Office,2310,Lighting and Landscape Assessment District,0000000 , UNDETERMINED PROJECT,IP40,"SAFETY, LIABILITY, & COMPLIANCE",Expense,Operating Transfers,59312,Operating Transfers Out: Other,327904,1,Adopted,327904
FY14-15,Public Works,Public Works,30111, Director's Office,3100,Sewer Service Fund,0000000 , UNDETERMINED PROJECT,IP40,"SAFETY, LIABILITY, & COMPLIANCE",Expense,Operating Transfers,59312,Operating Transfers Out: Other,2001863,1,Adopted,2001863
FY14-15,Public Works,Public Works,30111, Director's Office,4100,Equipment,0000000 , UNDETERMINED PROJECT,IP40,"SAFETY, LIABILITY, & COMPLIANCE",Expense,Operating Transfers,59312,Operating Transfers Out: Other,479025,1,Adopted,479025
FY14-15,Public Works,Public Works,30111, Director's Office,4400,City Facilities,0000000 , UNDETERMINED PROJECT,IP40,"SAFETY, LIABILITY, & COMPLIANCE",Expense,Operating Transfers,59312,Operating Transfers Out: Other,32701,1,Adopted,32701
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Civilian Salaries,51111,Civilian: Regular,284179,1,Adopted,284179
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Allowances & Premiums,51313,"Allowance: Auto Flat (1, 2, Partially 3)",8400,1,Adopted,8400
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,78526,1,Adopted,78526
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,105547,1,Adopted,105547
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,143450,1,Adopted,143450
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Services & Supplies,52211,Stationery and Office Supplies,15000,1,Adopted,15000
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Services & Supplies,52212,"Minor Furniture and Office Equipment (No Asset Number, Not Capitalized)",5000,1,Adopted,5000
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Services & Supplies,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",17000,1,Adopted,17000
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Services & Supplies,52614,Books,300,1,Adopted,300
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Services & Supplies,52629,"Supplies: Misc. Athletic, Craft, and Cultural",100,1,Adopted,100
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Services & Supplies,52919,Supplies: Miscellaneous and Commodities,-5000,1,Adopted,-5000
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Services & Supplies,53116,Telephone,60000,1,Adopted,60000
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Services & Supplies,53312,Public Relations,5000,1,Adopted,5000
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Services & Supplies,53313,Official Hospitality,1500,1,Adopted,1500
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Services & Supplies,53314,Advertising and Promotion,5000,1,Adopted,5000
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Services & Supplies,53611,Postage and Mailing,6000,1,Adopted,6000
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Contract Services,54619,Repair and Maintenance: Miscellaneous,15000,1,Adopted,15000
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Contract Services,54711,Printing and Duplicating Services,7000,1,Adopted,7000
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Contract Services,54919,Services: Miscellaneous Contract,20000,1,Adopted,20000
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Travel & Education,55112,Commercial Transportation,4000,1,Adopted,4000
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Travel & Education,55114,Per Diem and Lodging,3500,1,Adopted,3500
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Travel & Education,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",5000,1,Adopted,5000
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Travel & Education,55212,Registration and Tuition,3000,1,Adopted,3000
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Travel & Education,55219,Miscellaneous Educational Expenditures,20000,1,Adopted,20000
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Travel & Education,55311,Memberships: Employee Association Dues,3000,1,Adopted,3000
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Internal Services & Work Orders,56113,Facilities: General Support,342167,1,Adopted,342167
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Internal Services & Work Orders,56124,City Contract Compliance Dept-Purchasing Services,2754,1,Adopted,2754
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Internal Services & Work Orders,56211,Modifications: Telephone and Installations,4200,1,Adopted,4200
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Internal Services & Work Orders,56312,Duplicating,73700,1,Adopted,73700
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Internal Services & Work Orders,56411,City Vehicle Rentals,2753,1,Adopted,2753
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Internal Services & Work Orders,56511,Radio Rentals,5647,1,Adopted,5647
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Overhead Allocations,58521,Overhead: Departmental Cost Allocation,68551,1,Adopted,68551
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Overhead Allocations,58522,Overhead: Central Services Cost Allocation,73339,1,Adopted,73339
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,IP40,"SAFETY, LIABILITY, & COMPLIANCE",Expense,Operating Transfers,59312,Operating Transfers Out: Other,483298,1,Adopted,483298
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Recoveries,62213,Overhead: Departmental Reimbursement,-8872300,1,Adopted,-8872300
FY14-15,Public Works,Public Works,30111, Director's Office,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Recoveries,62235,Overhead: Project Recoveries (Budgetary Only),-356981,1,Adopted,-356981
FY14-15,Public Works,Public Works,30112, Human Resources,1150,Worker's Compensation Insurance Claims,0000000 , UNDETERMINED PROJECT,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Civilian Salaries,51111,Civilian: Regular,85649,1,Adopted,85649
FY14-15,Public Works,Public Works,30112, Human Resources,1150,Worker's Compensation Insurance Claims,0000000 , UNDETERMINED PROJECT,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Allowances & Premiums,51313,"Allowance: Auto Flat (1, 2, Partially 3)",1463,1,Adopted,1463
FY14-15,Public Works,Public Works,30112, Human Resources,1150,Worker's Compensation Insurance Claims,0000000 , UNDETERMINED PROJECT,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,23666,1,Adopted,23666
FY14-15,Public Works,Public Works,30112, Human Resources,1150,Worker's Compensation Insurance Claims,0000000 , UNDETERMINED PROJECT,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,31810,1,Adopted,31810
FY14-15,Public Works,Public Works,30112, Human Resources,1150,Worker's Compensation Insurance Claims,0000000 , UNDETERMINED PROJECT,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,43233,1,Adopted,43233
FY14-15,Public Works,Public Works,30112, Human Resources,1150,Worker's Compensation Insurance Claims,0000000 , UNDETERMINED PROJECT,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Overhead Allocations,58521,Overhead: Departmental Cost Allocation,20661,1,Adopted,20661
FY14-15,Public Works,Public Works,30112, Human Resources,1150,Worker's Compensation Insurance Claims,0000000 , UNDETERMINED PROJECT,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Overhead Allocations,58522,Overhead: Central Services Cost Allocation,22103,1,Adopted,22103
FY14-15,Public Works,Public Works,30112, Human Resources,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Civilian Salaries,51111,Civilian: Regular,674114,1,Adopted,674114
FY14-15,Public Works,Public Works,30112, Human Resources,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Civilian Overtime,51212,Civilian: Other Overtime,10000,1,Adopted,10000
FY14-15,Public Works,Public Works,30112, Human Resources,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Allowances & Premiums,51313,"Allowance: Auto Flat (1, 2, Partially 3)",7688,1,Adopted,7688
FY14-15,Public Works,Public Works,30112, Human Resources,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,186274,1,Adopted,186274
FY14-15,Public Works,Public Works,30112, Human Resources,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,250374,1,Adopted,250374
FY14-15,Public Works,Public Works,30112, Human Resources,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,340282,1,Adopted,340282
FY14-15,Public Works,Public Works,30112, Human Resources,7760,Grant Clearing,A167710 , PWA OVERHEAD CLEARING,AD01,ADMINISTRATION-TO BE ALLOCATED,Expense,Services & Supplies,52211,Stationery and Office Supplies,15000,1,Adopted,15000
