Fiscal Year Range,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Code,Project Description,Program Code,Program Description,Account Category,Account Code,Account Description,Amount,Budget Type,Budget Name,Amount as number
FY15-16,Expense,Police,Police Department,102140,"Research, Plannning & Crime Analysis",1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS09,POLICE TRAINING,Sworn Salaries,51112,Sworn: Regular,89290,3,Proposed,89290
FY15-16,Expense,Police,Police Department,102140,"Research, Plannning & Crime Analysis",1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS09,POLICE TRAINING,Sworn Salaries,51512,Sworn: Paid Leave Charge,28460,3,Proposed,28460
FY15-16,Expense,Police,Police Department,102140,"Research, Plannning & Crime Analysis",1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS01,AGENCY-WIDE ADMINISTRATION,Civilian Salaries,51111,Civilian: Regular,154807,3,Proposed,154807
FY15-16,Expense,Police,Police Department,102140,"Research, Plannning & Crime Analysis",1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS09,POLICE TRAINING,Sworn Retirement,51612,Sworn: Retirement Accrual,48676,3,Proposed,48676
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,P413010,EXTRADITION - COST TRACKING,PS03,CRIMINAL INVESTIGATIONS,Travel & Education,55112,Commercial Transportation,15000,3,Proposed,15000
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Services & Supplies,52612,Supplies: Craft,22000,3,Proposed,22000
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Civilian Salaries,51111,Civilian: Regular,96609,3,Proposed,96609
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Contract Services,54311,Medical and Veterinarian Services,165000,3,Proposed,165000
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Services & Supplies,53719,Miscellaneous Services,14350,3,Proposed,14350
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Sworn Salaries,51512,Sworn: Paid Leave Charge,40110,3,Proposed,40110
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Sworn Salaries,51428,Premium: Bilingual,650,3,Proposed,650
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Travel & Education,55113,Meals,2000,3,Proposed,2000
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Travel & Education,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",2000,3,Proposed,2000
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Sworn Salaries,51317,Allowance: Uniform,800,3,Proposed,800
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Civilian Retirement,51611,Civilian: Retirement Accrual,41275,3,Proposed,41275
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Sworn Overtime,51214,Sworn: Overtime,9600,3,Proposed,9600
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Sworn Salaries,51414,Sworn: Education,14936,3,Proposed,14936
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,48756,3,Proposed,48756
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Civilian Overtime,51212,Civilian: Other Overtime,7850,3,Proposed,7850
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Sworn Overtime,51213,Sworn: Holiday Overtime,1300,3,Proposed,1300
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Sworn Fringe Benefits,51614,Sworn: Fringe Benefits Accrual,58929,3,Proposed,58929
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Services & Supplies,52888,Fuel,15000,3,Proposed,15000
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Travel & Education,55112,Commercial Transportation,4000,3,Proposed,4000
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Contract Services,54919,Services: Miscellaneous Contract,15000,3,Proposed,15000
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Sworn Retirement,51612,Sworn: Retirement Accrual,68477,3,Proposed,68477
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Civilian Overtime,51211,Civilian: Holiday Overtime,2760,3,Proposed,2760
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Services & Supplies,52211,Stationery and Office Supplies,40000,3,Proposed,40000
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Sworn Salaries,51112,Sworn: Regular,125840,3,Proposed,125840
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Travel & Education,55114,Per Diem and Lodging,10000,3,Proposed,10000
FY15-16,Expense,Police,Police Department,102310,Criminal Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Civilian Salaries,51511,Civilian: Paid Leave Charge,28695,3,Proposed,28695
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Civilian Salaries,51511,Civilian: Paid Leave Charge,29014,3,Proposed,29014
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Civilian Overtime,51211,Civilian: Holiday Overtime,2520,3,Proposed,2520
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Sworn Retirement,51612,Sworn: Retirement Accrual,145794,3,Proposed,145794
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Sworn Salaries,51426,Premium: Miscellaneous,5358,3,Proposed,5358
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS02,INTERNAL AFFAIRS,Sworn Salaries,51112,Sworn: Regular,103277,3,Proposed,103277
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Civilian Salaries,51111,Civilian: Regular,31508,3,Proposed,31508
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS02,INTERNAL AFFAIRS,Sworn Salaries,51317,Allowance: Uniform,800,3,Proposed,800
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Civilian Salaries,51111,Civilian: Regular,97683,3,Proposed,97683
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Sworn Salaries,51512,Sworn: Paid Leave Charge,86803,3,Proposed,86803
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Sworn Salaries,51512,Sworn: Paid Leave Charge,178930,3,Proposed,178930
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,Sworn Salaries,51512,Sworn: Paid Leave Charge,28460,3,Proposed,28460
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Sworn Salaries,51411,Shift Pay,7359,3,Proposed,7359
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Sworn Retirement,51612,Sworn: Retirement Accrual,301202,3,Proposed,301202
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Sworn Salaries,51112,Sworn: Regular,561374,3,Proposed,561374
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS02,INTERNAL AFFAIRS,Sworn Retirement,51612,Sworn: Retirement Accrual,51634,3,Proposed,51634
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS01,AGENCY-WIDE ADMINISTRATION,Sworn Salaries,51112,Sworn: Regular,89290,3,Proposed,89290
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Sworn Salaries,51317,Allowance: Uniform,3534,3,Proposed,3534
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS01,AGENCY-WIDE ADMINISTRATION,Sworn Salaries,51512,Sworn: Paid Leave Charge,28460,3,Proposed,28460
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS01,AGENCY-WIDE ADMINISTRATION,Sworn Fringe Benefits,51614,Sworn: Fringe Benefits Accrual,41813,3,Proposed,41813
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,Sworn Salaries,51414,Sworn: Education,1766,3,Proposed,1766
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,Sworn Fringe Benefits,51614,Sworn: Fringe Benefits Accrual,41813,3,Proposed,41813
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS01,AGENCY-WIDE ADMINISTRATION,Sworn Salaries,51414,Sworn: Education,5299,3,Proposed,5299
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Civilian Salaries,51511,Civilian: Paid Leave Charge,9358,3,Proposed,9358
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,49298,3,Proposed,49298
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Civilian Retirement,51611,Civilian: Retirement Accrual,13461,3,Proposed,13461
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Sworn Fringe Benefits,51614,Sworn: Fringe Benefits Accrual,127530,3,Proposed,127530
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,Sworn Salaries,51112,Sworn: Regular,89290,3,Proposed,89290
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS02,INTERNAL AFFAIRS,Sworn Salaries,51512,Sworn: Paid Leave Charge,32919,3,Proposed,32919
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,Sworn Retirement,51612,Sworn: Retirement Accrual,45347,3,Proposed,45347
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Sworn Salaries,51317,Allowance: Uniform,5600,3,Proposed,5600
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,15901,3,Proposed,15901
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Civilian Retirement,51611,Civilian: Retirement Accrual,41734,3,Proposed,41734
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,Sworn Salaries,51317,Allowance: Uniform,800,3,Proposed,800
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Sworn Salaries,51428,Premium: Bilingual,1300,3,Proposed,1300
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS01,AGENCY-WIDE ADMINISTRATION,Sworn Salaries,51317,Allowance: Uniform,800,3,Proposed,800
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Sworn Fringe Benefits,51614,Sworn: Fringe Benefits Accrual,262883,3,Proposed,262883
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Sworn Overtime,51213,Sworn: Holiday Overtime,16880,3,Proposed,16880
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Sworn Salaries,51411,Shift Pay,6698,3,Proposed,6698
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Sworn Overtime,51214,Sworn: Overtime,835070,3,Proposed,835070
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Sworn Salaries,51414,Sworn: Education,17928,3,Proposed,17928
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS01,AGENCY-WIDE ADMINISTRATION,Sworn Retirement,51612,Sworn: Retirement Accrual,46679,3,Proposed,46679
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS02,INTERNAL AFFAIRS,Sworn Fringe Benefits,51614,Sworn: Fringe Benefits Accrual,48363,3,Proposed,48363
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Sworn Salaries,51112,Sworn: Regular,272335,3,Proposed,272335
FY15-16,Expense,Police,Police Department,102320,Homicide,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Sworn Salaries,51414,Sworn: Education,39895,3,Proposed,39895
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS02,INTERNAL AFFAIRS,Civilian Salaries,51111,Civilian: Regular,34927,3,Proposed,34927
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G261230,POLICE STAFFING & TRAINING,PSO,PROBLEM SOLVING OFFICER,Sworn Retirement,51612,Sworn: Retirement Accrual,136594,3,Proposed,136594
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Sworn Salaries,51317,Allowance: Uniform,4800,3,Proposed,4800
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Sworn Fringe Benefits,51614,Sworn: Fringe Benefits Accrual,226642,3,Proposed,226642
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G261230,POLICE STAFFING & TRAINING,PSO,PROBLEM SOLVING OFFICER,Sworn Fringe Benefits,51614,Sworn: Fringe Benefits Accrual,116386,3,Proposed,116386
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS12,VICE/NARCOTICS,Sworn Salaries,51112,Sworn: Regular,236042,3,Proposed,236042
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Sworn Salaries,51317,Allowance: Uniform,2400,3,Proposed,2400
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G261230,POLICE STAFFING & TRAINING,PSO,PROBLEM SOLVING OFFICER,Sworn Salaries,51411,Shift Pay,20485,3,Proposed,20485
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,Sworn Salaries,51512,Sworn: Paid Leave Charge,32919,3,Proposed,32919
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS12,VICE/NARCOTICS,Sworn Retirement,51612,Sworn: Retirement Accrual,121931,3,Proposed,121931
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Sworn Salaries,51421,Incentive and Special,5103,3,Proposed,5103
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,2411,False Alarm Reduction Program,P378820,FALSE ALARM PROGRAM- FUND 2411,PS11,PATROL AREA 1,Sworn Salaries,51512,Sworn: Paid Leave Charge,25901,3,Proposed,25901
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,2411,False Alarm Reduction Program,P378820,FALSE ALARM PROGRAM- FUND 2411,PS11,PATROL AREA 1,Sworn Fringe Benefits,51614,Sworn: Fringe Benefits Accrual,38053,3,Proposed,38053
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS12,VICE/NARCOTICS,Sworn Fringe Benefits,51614,Sworn: Fringe Benefits Accrual,110535,3,Proposed,110535
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS02,INTERNAL AFFAIRS,Civilian Salaries,51511,Civilian: Paid Leave Charge,10374,3,Proposed,10374
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,Sworn Salaries,51317,Allowance: Uniform,800,3,Proposed,800
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS12,VICE/NARCOTICS,Sworn Salaries,51512,Sworn: Paid Leave Charge,75235,3,Proposed,75235
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,2411,False Alarm Reduction Program,P378820,FALSE ALARM PROGRAM- FUND 2411,PS11,PATROL AREA 1,Sworn Salaries,51112,Sworn: Regular,81260,3,Proposed,81260
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,Sworn Salaries,51112,Sworn: Regular,103277,3,Proposed,103277
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G261230,POLICE STAFFING & TRAINING,PSO,PROBLEM SOLVING OFFICER,Sworn Salaries,51512,Sworn: Paid Leave Charge,79217,3,Proposed,79217
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,2411,False Alarm Reduction Program,P378820,FALSE ALARM PROGRAM- FUND 2411,PS11,PATROL AREA 1,Sworn Salaries,51317,Allowance: Uniform,800,3,Proposed,800
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,2411,False Alarm Reduction Program,P378820,FALSE ALARM PROGRAM- FUND 2411,PS11,PATROL AREA 1,Sworn Retirement,51612,Sworn: Retirement Accrual,40691,3,Proposed,40691
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS12,VICE/NARCOTICS,Sworn Overtime,51213,Sworn: Holiday Overtime,7840,3,Proposed,7840
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Sworn Salaries,51512,Sworn: Paid Leave Charge,71122,3,Proposed,71122
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Sworn Salaries,51414,Sworn: Education,16368,3,Proposed,16368
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS02,INTERNAL AFFAIRS,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,17627,3,Proposed,17627
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Sworn Salaries,51512,Sworn: Paid Leave Charge,154263,3,Proposed,154263
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Sworn Salaries,51112,Sworn: Regular,223135,3,Proposed,223135
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Sworn Fringe Benefits,51614,Sworn: Fringe Benefits Accrual,104491,3,Proposed,104491
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Sworn Retirement,51612,Sworn: Retirement Accrual,249023,3,Proposed,249023
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Sworn Overtime,51228,Overtime: Canine Handlers,4370,3,Proposed,4370
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS12,VICE/NARCOTICS,Sworn Overtime,51214,Sworn: Overtime,135060,3,Proposed,135060
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Sworn Retirement,51612,Sworn: Retirement Accrual,116373,3,Proposed,116373
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,Sworn Fringe Benefits,51614,Sworn: Fringe Benefits Accrual,48363,3,Proposed,48363
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G261230,POLICE STAFFING & TRAINING,PSO,PROBLEM SOLVING OFFICER,Sworn Salaries,51428,Premium: Bilingual,650,3,Proposed,650
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,2411,False Alarm Reduction Program,P378820,FALSE ALARM PROGRAM- FUND 2411,PS11,PATROL AREA 1,Overhead Allocations,58522,Overhead: Central Services Cost Allocation,16460,3,Proposed,16460
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS11,PATROL AREA 1,Sworn Salaries,51428,Premium: Bilingual,650,3,Proposed,650
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Sworn Salaries,51428,Premium: Bilingual,1300,3,Proposed,1300
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS02,INTERNAL AFFAIRS,Civilian Retirement,51611,Civilian: Retirement Accrual,14922,3,Proposed,14922
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS03,CRIMINAL INVESTIGATIONS,Sworn Salaries,51112,Sworn: Regular,483983,3,Proposed,483983
FY15-16,Expense,Police,Police Department,102321,Targeted Enforcement Task Force I,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,Sworn Retirement,51612,Sworn: Retirement Accrual,51634,3,Proposed,51634
