Fiscal Year Range,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Code,Project Description,Program Code,Program Description,Account Code,Account Description,Account Category,Amount,Budget Type,Budget Name,Amount as number
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2172,Alameda County: Vehicle Abatement Authority,P36000,ABAN VEHICLE ABATEMENT,PS14,TRAFFIC OPERATIONS,51511,Civilian: Paid Leave Charge,Civilian Salaries,12620,1,Adopted,12620
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2172,Alameda County: Vehicle Abatement Authority,P36000,ABAN VEHICLE ABATEMENT,PS14,TRAFFIC OPERATIONS,51611,Civilian: Retirement Accrual,Civilian Retirement,19509,1,Adopted,19509
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2172,Alameda County: Vehicle Abatement Authority,P36000,ABAN VEHICLE ABATEMENT,PS14,TRAFFIC OPERATIONS,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,21443,1,Adopted,21443
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2172,Alameda County: Vehicle Abatement Authority,P36000,ABAN VEHICLE ABATEMENT,PS14,TRAFFIC OPERATIONS,52920,Supplies and Equipment,Services & Supplies,650,1,Adopted,650
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2172,Alameda County: Vehicle Abatement Authority,P36000,ABAN VEHICLE ABATEMENT,PS14,TRAFFIC OPERATIONS,56511,Radio Rentals,Internal Services & Work Orders,9826,1,Adopted,9826
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2172,Alameda County: Vehicle Abatement Authority,P36000,ABAN VEHICLE ABATEMENT,PS14,TRAFFIC OPERATIONS,58522,Overhead: Central Services Cost Allocation,Overhead Allocations,18662,1,Adopted,18662
FY16-17,Revenue,Police,Police Department,107510,Traffic Operations,2416,Traffic Safety Fund,P328920,RED LIGHT CAMERA ENFRCMT,PS14,TRAFFIC OPERATIONS,43112,Fines: City Traffic Code,Fines & Penalties,1200000,1,Adopted,1200000
FY16-17,Revenue,Police,Police Department,107510,Traffic Operations,2416,Traffic Safety Fund,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,49112,Transfers from Undesignated Fund Balance,Transfers from Fund Balance,200000,1,Adopted,200000
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2416,Traffic Safety Fund,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,51111,Civilian: Regular,Civilian Salaries,98922,1,Adopted,98922
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2416,Traffic Safety Fund,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,51122,Temporary: Regular Part Time,Civilian Salaries,575243,1,Adopted,575243
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2416,Traffic Safety Fund,P328920,RED LIGHT CAMERA ENFRCMT,PS14,TRAFFIC OPERATIONS,51211,Civilian: Holiday Overtime,Civilian Overtime,9000,1,Adopted,9000
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2416,Traffic Safety Fund,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,51317,Allowance: Uniform,Allowances & Premiums,258,1,Adopted,258
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2416,Traffic Safety Fund,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,51425,Health and Welfare Benefits,Allowances & Premiums,51802,1,Adopted,51802
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2416,Traffic Safety Fund,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,51428,Premium: Bilingual,Allowances & Premiums,650,1,Adopted,650
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2416,Traffic Safety Fund,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,51511,Civilian: Paid Leave Charge,Civilian Salaries,49195,1,Adopted,49195
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2416,Traffic Safety Fund,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,51611,Civilian: Retirement Accrual,Civilian Retirement,45419,1,Adopted,45419
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2416,Traffic Safety Fund,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,88303,1,Adopted,88303
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2416,Traffic Safety Fund,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,51627,Retirement Contributions,Civilian Retirement,22314,1,Adopted,22314
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2416,Traffic Safety Fund,P328920,RED LIGHT CAMERA ENFRCMT,PS14,TRAFFIC OPERATIONS,53112,Electricity (Except Street Lighting),Services & Supplies,6000,1,Adopted,6000
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2416,Traffic Safety Fund,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,54011,Contract Contingencies (Budgetary Only),Contract Services,401,1,Adopted,401
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2416,Traffic Safety Fund,P328920,RED LIGHT CAMERA ENFRCMT,PS14,TRAFFIC OPERATIONS,54919,Services: Miscellaneous Contract,Contract Services,833268,1,Adopted,833268
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2416,Traffic Safety Fund,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,56111,Special Setups,Internal Services & Work Orders,4979,1,Adopted,4979
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2416,Traffic Safety Fund,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,56113,Facilities: General Support,Internal Services & Work Orders,27391,1,Adopted,27391
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2416,Traffic Safety Fund,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,56123,City Accounting Services,Internal Services & Work Orders,1210,1,Adopted,1210
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2416,Traffic Safety Fund,P328920,RED LIGHT CAMERA ENFRCMT,PS14,TRAFFIC OPERATIONS,56411,City Vehicle Rentals,Internal Services & Work Orders,31888,1,Adopted,31888
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2416,Traffic Safety Fund,P328920,RED LIGHT CAMERA ENFRCMT,PS14,TRAFFIC OPERATIONS,56511,Radio Rentals,Internal Services & Work Orders,7369,1,Adopted,7369
FY16-17,Expense,Police,Police Department,107510,Traffic Operations,2416,Traffic Safety Fund,P328920,RED LIGHT CAMERA ENFRCMT,PS14,TRAFFIC OPERATIONS,58522,Overhead: Central Services Cost Allocation,Overhead Allocations,1382,1,Adopted,1382
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP61,HUMAN RESOURCE MANAGEMENT,51111,Civilian: Regular,Civilian Salaries,38414,1,Adopted,38414
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,51111,Civilian: Regular,Civilian Salaries,1254755,1,Adopted,1254755
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP60,PARKING MANAGEMENT,51111,Civilian: Regular,Civilian Salaries,184979,1,Adopted,184979
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP60,PARKING MANAGEMENT,51122,Temporary: Regular Part Time,Civilian Salaries,591698,1,Adopted,591698
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,51122,Temporary: Regular Part Time,Civilian Salaries,597946,1,Adopted,597946
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,51317,Allowance: Uniform,Allowances & Premiums,8135,1,Adopted,8135
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP61,HUMAN RESOURCE MANAGEMENT,51317,Allowance: Uniform,Allowances & Premiums,329,1,Adopted,329
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP60,PARKING MANAGEMENT,51317,Allowance: Uniform,Allowances & Premiums,658,1,Adopted,658
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,51411,Shift Pay,Allowances & Premiums,8736,1,Adopted,8736
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP60,PARKING MANAGEMENT,51411,Shift Pay,Allowances & Premiums,2184,1,Adopted,2184
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP60,PARKING MANAGEMENT,51425,Health and Welfare Benefits,Allowances & Premiums,50287,1,Adopted,50287
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,51425,Health and Welfare Benefits,Allowances & Premiums,59255,1,Adopted,59255
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,51428,Premium: Bilingual,Allowances & Premiums,3640,1,Adopted,3640
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP60,PARKING MANAGEMENT,51428,Premium: Bilingual,Allowances & Premiums,2990,1,Adopted,2990
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,51511,Civilian: Paid Leave Charge,Civilian Salaries,393265,1,Adopted,393265
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP61,HUMAN RESOURCE MANAGEMENT,51511,Civilian: Paid Leave Charge,Civilian Salaries,11409,1,Adopted,11409
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP60,PARKING MANAGEMENT,51511,Civilian: Paid Leave Charge,Civilian Salaries,75323,1,Adopted,75323
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP61,HUMAN RESOURCE MANAGEMENT,51611,Civilian: Retirement Accrual,Civilian Retirement,17637,1,Adopted,17637
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP60,PARKING MANAGEMENT,51611,Civilian: Retirement Accrual,Civilian Retirement,84931,1,Adopted,84931
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,51611,Civilian: Retirement Accrual,Civilian Retirement,576098,1,Adopted,576098
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP61,HUMAN RESOURCE MANAGEMENT,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,19386,1,Adopted,19386
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP60,PARKING MANAGEMENT,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,132832,1,Adopted,132832
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,673121,1,Adopted,673121
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,51627,Retirement Contributions,Civilian Retirement,23195,1,Adopted,23195
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP60,PARKING MANAGEMENT,51627,Retirement Contributions,Civilian Retirement,22953,1,Adopted,22953
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP60,PARKING MANAGEMENT,52211,Stationery and Office Supplies,Services & Supplies,3500,1,Adopted,3500
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP60,PARKING MANAGEMENT,52212,"Minor Furniture and Office Equipment (No Asset Number, Not Capitalized)",Services & Supplies,2800,1,Adopted,2800
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP60,PARKING MANAGEMENT,52912,Clothing,Services & Supplies,15000,1,Adopted,15000
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP60,PARKING MANAGEMENT,52917,Shoe/Boot Supplemental,Services & Supplies,7600,1,Adopted,7600
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP60,PARKING MANAGEMENT,52919,Supplies: Miscellaneous and Commodities,Services & Supplies,20000,1,Adopted,20000
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP60,PARKING MANAGEMENT,53116,Telephone,Services & Supplies,30000,1,Adopted,30000
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP60,PARKING MANAGEMENT,53719,Miscellaneous Services,Services & Supplies,6500,1,Adopted,6500
FY16-17,Expense,Police,Police Department,107511,Parking Enforcement,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP60,PARKING MANAGEMENT,56511,Radio Rentals,Internal Services & Work Orders,154753,1,Adopted,154753
FY16-17,Revenue,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,42411,Special Permits: Police,Licenses & Permits,3723,1,Adopted,3723
FY16-17,Revenue,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,P46000,DEEMED APPROVED ALCOHOL CONTRO,PS13,SPECIAL OPERATIONS,43115,Fines: Miscellaneous,Fines & Penalties,21050,1,Adopted,21050
FY16-17,Revenue,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,P46000,DEEMED APPROVED ALCOHOL CONTRO,PS13,SPECIAL OPERATIONS,45419,Other Fees: Miscellaneous,Service Charges,868199,1,Adopted,868199
FY16-17,Revenue,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,45718,Other Svc Charges: Personnel Services,Service Charges,3319101,1,Adopted,3319101
FY16-17,Revenue,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS14,TRAFFIC OPERATIONS,45718,Other Svc Charges: Personnel Services,Service Charges,5000,1,Adopted,5000
FY16-17,Revenue,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS01,AGENCY,45718,Other Svc Charges: Personnel Services,Service Charges,9000,1,Adopted,9000
FY16-17,Revenue,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,45729,Other Svc Charges: Miscellaneous Service Charges,Service Charges,1108763,1,Adopted,1108763
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS01,AGENCY,51111,Civilian: Regular,Civilian Salaries,57905,1,Adopted,57905
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,P46000,DEEMED APPROVED ALCOHOL CONTRO,PS13,SPECIAL OPERATIONS,51111,Civilian: Regular,Civilian Salaries,84980,1,Adopted,84980
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,P46000,DEEMED APPROVED ALCOHOL CONTRO,PS13,SPECIAL OPERATIONS,51112,Sworn: Regular,Sworn Salaries,154782,1,Adopted,154782
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,51112,Sworn: Regular,Sworn Salaries,236042,1,Adopted,236042
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS01,AGENCY,51112,Sworn: Regular,Sworn Salaries,108442,1,Adopted,108442
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS11,PATROL AREA 1,51112,Sworn: Regular,Sworn Salaries,416679,1,Adopted,416679
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,51211,Civilian: Holiday Overtime,Civilian Overtime,13310,1,Adopted,13310
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,51212,Civilian: Other Overtime,Civilian Overtime,25490,1,Adopted,25490
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,P46000,DEEMED APPROVED ALCOHOL CONTRO,PS13,SPECIAL OPERATIONS,51212,Civilian: Other Overtime,Civilian Overtime,7570,1,Adopted,7570
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS12,VICE/NARCOTICS,51213,Sworn: Holiday Overtime,Sworn Overtime,17470,1,Adopted,17470
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,51213,Sworn: Holiday Overtime,Sworn Overtime,14160,1,Adopted,14160
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,P46000,DEEMED APPROVED ALCOHOL CONTRO,PS13,SPECIAL OPERATIONS,51213,Sworn: Holiday Overtime,Sworn Overtime,2750,1,Adopted,2750
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS11,PATROL AREA 1,51214,Sworn: Overtime,Sworn Overtime,1083300,1,Adopted,1083300
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,51214,Sworn: Overtime,Sworn Overtime,-794460,1,Adopted,-794460
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,51228,Overtime: Canine Handlers,Sworn Overtime,13100,1,Adopted,13100
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,51315,Allowance: Canine,Allowances & Premiums,600,1,Adopted,600
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS11,PATROL AREA 1,51317,Allowance: Uniform,Allowances & Premiums,4000,1,Adopted,4000
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS01,AGENCY,51317,Allowance: Uniform,Allowances & Premiums,800,1,Adopted,800
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,51317,Allowance: Uniform,Allowances & Premiums,2400,1,Adopted,2400
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,P46000,DEEMED APPROVED ALCOHOL CONTRO,PS13,SPECIAL OPERATIONS,51317,Allowance: Uniform,Allowances & Premiums,2116,1,Adopted,2116
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS11,PATROL AREA 1,51411,Shift Pay,Allowances & Premiums,13738,1,Adopted,13738
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,51411,Shift Pay,Allowances & Premiums,13077,1,Adopted,13077
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,51414,Sworn: Education,Allowances & Premiums,6123,1,Adopted,6123
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,P46000,DEEMED APPROVED ALCOHOL CONTRO,PS13,SPECIAL OPERATIONS,51414,Sworn: Education,Allowances & Premiums,9185,1,Adopted,9185
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS11,PATROL AREA 1,51414,Sworn: Education,Allowances & Premiums,37975,1,Adopted,37975
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,51417,Sworn: Motorcycle,Allowances & Premiums,5103,1,Adopted,5103
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS11,PATROL AREA 1,51421,Incentive and Special,Allowances & Premiums,5103,1,Adopted,5103
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,P46000,DEEMED APPROVED ALCOHOL CONTRO,PS13,SPECIAL OPERATIONS,51428,Premium: Bilingual,Allowances & Premiums,650,1,Adopted,650
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,51428,Premium: Bilingual,Allowances & Premiums,650,1,Adopted,650
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS01,AGENCY,51511,Civilian: Paid Leave Charge,Civilian Salaries,17199,1,Adopted,17199
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,P46000,DEEMED APPROVED ALCOHOL CONTRO,PS13,SPECIAL OPERATIONS,51511,Civilian: Paid Leave Charge,Civilian Salaries,25240,1,Adopted,25240
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS01,AGENCY,51512,Sworn: Paid Leave Charge,Sworn Salaries,34564,1,Adopted,34564
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS11,PATROL AREA 1,51512,Sworn: Paid Leave Charge,Sworn Salaries,132811,1,Adopted,132811
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,51512,Sworn: Paid Leave Charge,Sworn Salaries,75235,1,Adopted,75235
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,P46000,DEEMED APPROVED ALCOHOL CONTRO,PS13,SPECIAL OPERATIONS,51512,Sworn: Paid Leave Charge,Sworn Salaries,49334,1,Adopted,49334
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,P46000,DEEMED APPROVED ALCOHOL CONTRO,PS13,SPECIAL OPERATIONS,51611,Civilian: Retirement Accrual,Civilian Retirement,39018,1,Adopted,39018
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS01,AGENCY,51611,Civilian: Retirement Accrual,Civilian Retirement,26587,1,Adopted,26587
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,51612,Sworn: Retirement Accrual,Sworn Retirement,136807,1,Adopted,136807
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,P46000,DEEMED APPROVED ALCOHOL CONTRO,PS13,SPECIAL OPERATIONS,51612,Sworn: Retirement Accrual,Sworn Retirement,86821,1,Adopted,86821
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS11,PATROL AREA 1,51612,Sworn: Retirement Accrual,Sworn Retirement,246565,1,Adopted,246565
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS01,AGENCY,51612,Sworn: Retirement Accrual,Sworn Retirement,58098,1,Adopted,58098
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS01,AGENCY,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,29223,1,Adopted,29223
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,P46000,DEEMED APPROVED ALCOHOL CONTRO,PS13,SPECIAL OPERATIONS,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,42886,1,Adopted,42886
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,P46000,DEEMED APPROVED ALCOHOL CONTRO,PS13,SPECIAL OPERATIONS,51614,Sworn: Fringe Benefits Accrual,Sworn Fringe Benefits,72482,1,Adopted,72482
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS01,AGENCY,51614,Sworn: Fringe Benefits Accrual,Sworn Fringe Benefits,50781,1,Adopted,50781
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS11,PATROL AREA 1,51614,Sworn: Fringe Benefits Accrual,Sworn Fringe Benefits,195124,1,Adopted,195124
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,51614,Sworn: Fringe Benefits Accrual,Sworn Fringe Benefits,110535,1,Adopted,110535
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,52211,Stationery and Office Supplies,Services & Supplies,6000,1,Adopted,6000
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,P46000,DEEMED APPROVED ALCOHOL CONTRO,PS13,SPECIAL OPERATIONS,52211,Stationery and Office Supplies,Services & Supplies,11569,1,Adopted,11569
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",Services & Supplies,500,1,Adopted,500
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,52311,Maintenance Supplies,Services & Supplies,2000,1,Adopted,2000
FY16-17,Expense,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,PS13,SPECIAL OPERATIONS,52513,Supplies: Telephone and Materials,Services & Supplies,650,1,Adopted,650
