Fiscal Year Range,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Code,Project Description,Program Code,Program Description,Account Type,Account Category,Account Code,Account Description,Amount,Budget Type,Budget Name,Amount as number
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Services & Supplies,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",5000,1,Adopted,5000
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Services & Supplies,52614,Books,1500,1,Adopted,1500
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Contract Services,54111,Accounting and Auditing Services,568236,1,Adopted,568236
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Travel & Education,55112,Commercial Transportation,1500,1,Adopted,1500
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Travel & Education,55113,Meals,500,1,Adopted,500
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Travel & Education,55114,Per Diem and Lodging,1000,1,Adopted,1000
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Travel & Education,55212,Registration and Tuition,500,1,Adopted,500
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Travel & Education,55311,Memberships: Employee Association Dues,500,1,Adopted,500
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,1150,Worker's Compensation Insurance Claims,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Salaries,51111,Civilian: Regular,13875,1,Adopted,13875
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,1150,Worker's Compensation Insurance Claims,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,3834,1,Adopted,3834
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,1150,Worker's Compensation Insurance Claims,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,4835,1,Adopted,4835
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,1150,Worker's Compensation Insurance Claims,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,6614,1,Adopted,6614
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,1610,Successor Redevelopment Agency Reimbursement Fund,A453210 , SUCCESSOR AGENCY-ADMIN,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Salaries,51111,Civilian: Regular,97411,1,Adopted,97411
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,1610,Successor Redevelopment Agency Reimbursement Fund,A453210 , SUCCESSOR AGENCY-ADMIN,IP59,FINANCIAL MANAGEMENT,Expense,Allowances & Premiums,51428,Premium: Bilingual,695,1,Adopted,695
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,1610,Successor Redevelopment Agency Reimbursement Fund,A453210 , SUCCESSOR AGENCY-ADMIN,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,26917,1,Adopted,26917
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,1610,Successor Redevelopment Agency Reimbursement Fund,A453210 , SUCCESSOR AGENCY-ADMIN,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,33942,1,Adopted,33942
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,1610,Successor Redevelopment Agency Reimbursement Fund,A453210 , SUCCESSOR AGENCY-ADMIN,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,46436,1,Adopted,46436
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,2108,HUD-CDBG,G05650 , OCD ADMINISTRATION,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Salaries,51111,Civilian: Regular,61508,1,Adopted,61508
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,2108,HUD-CDBG,G05650 , OCD ADMINISTRATION,IP59,FINANCIAL MANAGEMENT,Expense,Allowances & Premiums,51428,Premium: Bilingual,2863,1,Adopted,2863
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,2108,HUD-CDBG,G05650 , OCD ADMINISTRATION,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,16996,1,Adopted,16996
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,2108,HUD-CDBG,G05650 , OCD ADMINISTRATION,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,21432,1,Adopted,21432
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,2108,HUD-CDBG,G05650 , OCD ADMINISTRATION,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,29321,1,Adopted,29321
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,2108,HUD-CDBG,G05650 , OCD ADMINISTRATION,IP59,FINANCIAL MANAGEMENT,Expense,Contract Services,54111,Accounting and Auditing Services,32480,1,Adopted,32480
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,2195,Workforce Investment Act,G151010 , WIA FINANCIAL SERVICES AGENCY,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Salaries,51111,Civilian: Regular,47182,1,Adopted,47182
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,2195,Workforce Investment Act,G151010 , WIA FINANCIAL SERVICES AGENCY,IP59,FINANCIAL MANAGEMENT,Expense,Allowances & Premiums,51428,Premium: Bilingual,532,1,Adopted,532
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,2195,Workforce Investment Act,G151010 , WIA FINANCIAL SERVICES AGENCY,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,13037,1,Adopted,13037
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,2195,Workforce Investment Act,G151010 , WIA FINANCIAL SERVICES AGENCY,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,16440,1,Adopted,16440
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,2195,Workforce Investment Act,G151010 , WIA FINANCIAL SERVICES AGENCY,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,22491,1,Adopted,22491
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,2195,Workforce Investment Act,G151010 , WIA FINANCIAL SERVICES AGENCY,IP59,FINANCIAL MANAGEMENT,Expense,Internal Services & Work Orders,56123,City Accounting Services,329,1,Adopted,329
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,2415,Development Service Fund,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Salaries,51111,Civilian: Regular,32041,1,Adopted,32041
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,2415,Development Service Fund,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,8854,1,Adopted,8854
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,2415,Development Service Fund,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,11164,1,Adopted,11164
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,2415,Development Service Fund,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,15274,1,Adopted,15274
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,3100,Sewer Service Fund,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Salaries,51111,Civilian: Regular,15219,1,Adopted,15219
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,3100,Sewer Service Fund,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,4205,1,Adopted,4205
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,3100,Sewer Service Fund,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,5303,1,Adopted,5303
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,3100,Sewer Service Fund,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,7255,1,Adopted,7255
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,7100,Police and Fire Retirement System,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Salaries,51111,Civilian: Regular,38851,1,Adopted,38851
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,7100,Police and Fire Retirement System,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,10735,1,Adopted,10735
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,7100,Police and Fire Retirement System,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,13537,1,Adopted,13537
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,7100,Police and Fire Retirement System,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,18520,1,Adopted,18520
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,7120,Oakland Municipal Employees' Retirement System OMERS,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Salaries,51111,Civilian: Regular,16650,1,Adopted,16650
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,7120,Oakland Municipal Employees' Retirement System OMERS,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,4601,1,Adopted,4601
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,7120,Oakland Municipal Employees' Retirement System OMERS,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,5802,1,Adopted,5802
FY13-14,Administrative Services,Controller's Office,8222, General Ledger,7120,Oakland Municipal Employees' Retirement System OMERS,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,7937,1,Adopted,7937
FY13-14,Administrative Services,Controller's Office,8241, Accounts Payable,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Salaries,51111,Civilian: Regular,234866,1,Adopted,234866
FY13-14,Administrative Services,Controller's Office,8241, Accounts Payable,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Overtime,51212,Civilian: Other Overtime,4130,1,Adopted,4130
FY13-14,Administrative Services,Controller's Office,8241, Accounts Payable,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Allowances & Premiums,51313,"Allowance: Auto Flat (1, 2, Partially 3)",2100,1,Adopted,2100
FY13-14,Administrative Services,Controller's Office,8241, Accounts Payable,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,64897,1,Adopted,64897
FY13-14,Administrative Services,Controller's Office,8241, Accounts Payable,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,81835,1,Adopted,81835
FY13-14,Administrative Services,Controller's Office,8241, Accounts Payable,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,111961,1,Adopted,111961
FY13-14,Administrative Services,Controller's Office,8242, Stores Operations,4500,Central Stores,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Revenue,Internal Service Funds,47111,Internal Service Revenues,425838,1,Adopted,425838
FY13-14,Administrative Services,Controller's Office,8242, Stores Operations,4500,Central Stores,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Salaries,51111,Civilian: Regular,145207,1,Adopted,145207
FY13-14,Administrative Services,Controller's Office,8242, Stores Operations,4500,Central Stores,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Overtime,51212,Civilian: Other Overtime,2490,1,Adopted,2490
FY13-14,Administrative Services,Controller's Office,8242, Stores Operations,4500,Central Stores,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Allowances & Premiums,51313,"Allowance: Auto Flat (1, 2, Partially 3)",2100,1,Adopted,2100
FY13-14,Administrative Services,Controller's Office,8242, Stores Operations,4500,Central Stores,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,40124,1,Adopted,40124
FY13-14,Administrative Services,Controller's Office,8242, Stores Operations,4500,Central Stores,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,50595,1,Adopted,50595
FY13-14,Administrative Services,Controller's Office,8242, Stores Operations,4500,Central Stores,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,69222,1,Adopted,69222
FY13-14,Administrative Services,Controller's Office,8242, Stores Operations,4500,Central Stores,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Services & Supplies,52211,Stationery and Office Supplies,500,1,Adopted,500
FY13-14,Administrative Services,Controller's Office,8242, Stores Operations,4500,Central Stores,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Services & Supplies,53116,Telephone,1500,1,Adopted,1500
FY13-14,Administrative Services,Controller's Office,8242, Stores Operations,4500,Central Stores,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Services & Supplies,53212,Rental: Equipment (Other Than Office Equipment),1000,1,Adopted,1000
FY13-14,Administrative Services,Controller's Office,8242, Stores Operations,4500,Central Stores,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Contract Services,54612,Service Contracts for Machinery and Equipment,3400,1,Adopted,3400
FY13-14,Administrative Services,Controller's Office,8242, Stores Operations,4500,Central Stores,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Internal Services & Work Orders,56113,Facilities: General Support,15699,1,Adopted,15699
FY13-14,Administrative Services,Controller's Office,8242, Stores Operations,4500,Central Stores,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Internal Services & Work Orders,56123,City Accounting Services,1044,1,Adopted,1044
FY13-14,Administrative Services,Controller's Office,8242, Stores Operations,4500,Central Stores,0000000 , UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Expense,Internal Services & Work Orders,56411,City Vehicle Rentals,6962,1,Adopted,6962
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Revenue,Internal Service Funds,47111,Internal Service Revenues,777965,1,Adopted,777965
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Civilian Salaries,51111,Civilian: Regular,349249,1,Adopted,349249
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,96506,1,Adopted,96506
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,121689,1,Adopted,121689
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,166491,1,Adopted,166491
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Services & Supplies,52211,Stationery and Office Supplies,7588,1,Adopted,7588
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Services & Supplies,52212,"Minor Furniture and Office Equipment (No Asset Number, Not Capitalized)",600,1,Adopted,600
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Services & Supplies,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",13631,1,Adopted,13631
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Services & Supplies,52614,Books,550,1,Adopted,550
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Services & Supplies,52912,Clothing,300,1,Adopted,300
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Services & Supplies,53116,Telephone,5540,1,Adopted,5540
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Services & Supplies,53219,Rental: Miscellaneous,720,1,Adopted,720
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Services & Supplies,53611,Postage and Mailing,500,1,Adopted,500
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Services & Supplies,53719,Miscellaneous Services,200,1,Adopted,200
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Contract Services,54612,Service Contracts for Machinery and Equipment,3000,1,Adopted,3000
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Travel & Education,55112,Commercial Transportation,200,1,Adopted,200
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Travel & Education,55113,Meals,300,1,Adopted,300
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Travel & Education,55114,Per Diem and Lodging,380,1,Adopted,380
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Travel & Education,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",310,1,Adopted,310
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Travel & Education,55211,Periodical Subscriptions,500,1,Adopted,500
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Travel & Education,55212,Registration and Tuition,600,1,Adopted,600
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Travel & Education,55311,Memberships: Employee Association Dues,200,1,Adopted,200
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Travel & Education,55312,Memberships: City,460,1,Adopted,460
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Internal Services & Work Orders,56123,City Accounting Services,769,1,Adopted,769
FY13-14,Administrative Services,Controller's Office,8243, Purchasing,4550,Purchasing,0000000 , UNDETERMINED PROJECT,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,Internal Services & Work Orders,56312,Duplicating,11850,1,Adopted,11850
FY13-14,Administrative Services,Controller's Office,8261, Budget Analysis & Operations,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,Civilian Salaries,51111,Civilian: Regular,409350,1,Adopted,409350
FY13-14,Administrative Services,Controller's Office,8261, Budget Analysis & Operations,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,113113,1,Adopted,113113
FY13-14,Administrative Services,Controller's Office,8261, Budget Analysis & Operations,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,142632,1,Adopted,142632
FY13-14,Administrative Services,Controller's Office,8261, Budget Analysis & Operations,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,195139,1,Adopted,195139
FY13-14,Administrative Services,Controller's Office,8261, Budget Analysis & Operations,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,Services & Supplies,52211,Stationery and Office Supplies,4975,1,Adopted,4975
FY13-14,Administrative Services,Controller's Office,8261, Budget Analysis & Operations,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,Services & Supplies,52212,"Minor Furniture and Office Equipment (No Asset Number, Not Capitalized)",1200,1,Adopted,1200
FY13-14,Administrative Services,Controller's Office,8261, Budget Analysis & Operations,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,Services & Supplies,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",10800,1,Adopted,10800
FY13-14,Administrative Services,Controller's Office,8261, Budget Analysis & Operations,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,Services & Supplies,52911,Bottled Water and Food for Human Consumption,470,1,Adopted,470
FY13-14,Administrative Services,Controller's Office,8261, Budget Analysis & Operations,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,Services & Supplies,53116,Telephone,6875,1,Adopted,6875
FY13-14,Administrative Services,Controller's Office,8261, Budget Analysis & Operations,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,Services & Supplies,53313,Official Hospitality,705,1,Adopted,705
FY13-14,Administrative Services,Controller's Office,8261, Budget Analysis & Operations,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,Services & Supplies,53611,Postage and Mailing,750,1,Adopted,750
FY13-14,Administrative Services,Controller's Office,8261, Budget Analysis & Operations,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,Contract Services,54711,Printing and Duplicating Services,5590,1,Adopted,5590
FY13-14,Administrative Services,Controller's Office,8261, Budget Analysis & Operations,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,Contract Services,54722,Advertising: Classified,5000,1,Adopted,5000
FY13-14,Administrative Services,Controller's Office,8261, Budget Analysis & Operations,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,Contract Services,54811,Temporary Personnel Services,15410,1,Adopted,15410
FY13-14,Administrative Services,Controller's Office,8261, Budget Analysis & Operations,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,Travel & Education,55112,Commercial Transportation,935,1,Adopted,935
FY13-14,Administrative Services,Controller's Office,8261, Budget Analysis & Operations,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,Travel & Education,55114,Per Diem and Lodging,2250,1,Adopted,2250
FY13-14,Administrative Services,Controller's Office,8261, Budget Analysis & Operations,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,Travel & Education,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",500,1,Adopted,500
FY13-14,Administrative Services,Controller's Office,8261, Budget Analysis & Operations,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,Travel & Education,55211,Periodical Subscriptions,500,1,Adopted,500
FY13-14,Administrative Services,Controller's Office,8261, Budget Analysis & Operations,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,Travel & Education,55212,Registration and Tuition,2125,1,Adopted,2125
