Fiscal Year Range,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Program Code,Program Description,Account Type,Account Code,Account Category,Account Description,Amount,Amount as number,Budget Type,Budget Name
FY13-14,City Administrator,Budget,2811,Budget Division,1610,Successor Redevelopment Agency Reimbursement Fund,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,51428,Sworn Salaries,Premium: Bilingual,1750,1750,3,Proposed
FY13-14,City Administrator,Budget,2811,Budget Division,1610,Successor Redevelopment Agency Reimbursement Fund,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,51111,Civilian Salaries,Civilian: Regular,42577,42577,3,Proposed
FY13-14,City Administrator,Budget,2811,Budget Division,1610,Successor Redevelopment Agency Reimbursement Fund,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,51313,Civilian Salaries,"Allowance: Auto Flat (1, 2, Partially 3)",840,840,3,Proposed
FY13-14,City Administrator,Budget,2811,Budget Division,1610,Successor Redevelopment Agency Reimbursement Fund,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,20296,20296,3,Proposed
FY13-14,City Administrator,Budget,2811,Budget Division,1610,Successor Redevelopment Agency Reimbursement Fund,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,11765,11765,3,Proposed
FY13-14,City Administrator,Budget,2811,Budget Division,1610,Successor Redevelopment Agency Reimbursement Fund,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,14835,14835,3,Proposed
FY13-14,City Administrator,Budget,2811,Budget Division,2241,Measure Q-Library Services Retention & Enhancement,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,54411,Contract Services,Architectural and Engineering Services,17657,17657,3,Proposed
FY13-14,City Administrator,Budget,2811,Budget Division,2250,Measure N: Fund,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,54411,Contract Services,Architectural and Engineering Services,4492,4492,3,Proposed
FY13-14,City Administrator,Budget,2811,Budget Division,2251,Measure Y: Public Safety Act 2004,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,54411,Contract Services,Architectural and Engineering Services,18000,18000,3,Proposed
FY13-14,City Administrator,Budget,2811,Budget Division,2310,Lighting and Landscape Assessment District,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,54411,Contract Services,Architectural and Engineering Services,25089,25089,3,Proposed
FY13-14,City Administrator,Budget,2811,Budget Division,2310,Lighting and Landscape Assessment District,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,56124,Internal Services & Work Orders,City Contract Compliance Dept-Purchasing Services,442,442,3,Proposed
FY13-14,City Administrator,Budget,2811,Budget Division,2412,Alameda County: Emergency Dispatch Service Supplemental Assessment,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,56124,Internal Services & Work Orders,City Contract Compliance Dept-Purchasing Services,89,89,3,Proposed
FY13-14,City Administrator,Budget,2811,Budget Division,2412,Alameda County: Emergency Dispatch Service Supplemental Assessment,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,54411,Contract Services,Architectural and Engineering Services,4453,4453,3,Proposed
FY13-14,City Administrator,Budget,2811,Budget Division,5130,Rockridge: Library Assessment District,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,54411,Contract Services,Architectural and Engineering Services,3320,3320,3,Proposed
FY13-14,City Administrator,Budget,2811,Budget Division,5130,Rockridge: Library Assessment District,IP12,BUDGET ANALYSIS & OPERATIONS,Expense,56124,Internal Services & Work Orders,City Contract Compliance Dept-Purchasing Services,67,67,3,Proposed
FY13-14,City Administrator,Citizens' Police Review Board,2211,Citizens' Police Review Board,1010,General Fund: General Purpose,IP06,CITIZENS POLICE REVIEW BOARD,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,98586,98586,3,Proposed
FY13-14,City Administrator,Citizens' Police Review Board,2211,Citizens' Police Review Board,1010,General Fund: General Purpose,IP06,CITIZENS POLICE REVIEW BOARD,Revenue,49112,Transfers from Fund Balance,Transfers from Undesignated Fund Balance,734000,734000,3,Proposed
FY13-14,City Administrator,Citizens' Police Review Board,2211,Citizens' Police Review Board,1010,General Fund: General Purpose,IP06,CITIZENS POLICE REVIEW BOARD,Expense,52911,Services & Supplies,Bottled Water and Food for Human Consumption,650,650,3,Proposed
FY13-14,City Administrator,Citizens' Police Review Board,2211,Citizens' Police Review Board,1010,General Fund: General Purpose,IP06,CITIZENS POLICE REVIEW BOARD,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,134877,134877,3,Proposed
FY13-14,City Administrator,Citizens' Police Review Board,2211,Citizens' Police Review Board,1010,General Fund: General Purpose,IP06,CITIZENS POLICE REVIEW BOARD,Expense,51428,Sworn Salaries,Premium: Bilingual,8228,8228,3,Proposed
FY13-14,City Administrator,Citizens' Police Review Board,2211,Citizens' Police Review Board,1010,General Fund: General Purpose,IP06,CITIZENS POLICE REVIEW BOARD,Expense,51111,Civilian Salaries,Civilian: Regular,282936,282936,3,Proposed
FY13-14,City Administrator,Citizens' Police Review Board,2211,Citizens' Police Review Board,1010,General Fund: General Purpose,IP06,CITIZENS POLICE REVIEW BOARD,Expense,55211,Operation & Maintenance,Periodical Subscriptions,310,310,3,Proposed
FY13-14,City Administrator,Citizens' Police Review Board,2211,Citizens' Police Review Board,1010,General Fund: General Purpose,IP06,CITIZENS POLICE REVIEW BOARD,Expense,52211,Services & Supplies,Stationery and Office Supplies,2320,2320,3,Proposed
FY13-14,City Administrator,Citizens' Police Review Board,2211,Citizens' Police Review Board,1010,General Fund: General Purpose,IP06,CITIZENS POLICE REVIEW BOARD,Expense,56312,Internal Services & Work Orders,Duplicating,10890,10890,3,Proposed
FY13-14,City Administrator,Citizens' Police Review Board,2211,Citizens' Police Review Board,1010,General Fund: General Purpose,IP06,CITIZENS POLICE REVIEW BOARD,Expense,53116,Services & Supplies,Telephone,4959,4959,3,Proposed
FY13-14,City Administrator,Citizens' Police Review Board,2211,Citizens' Police Review Board,1010,General Fund: General Purpose,IP06,CITIZENS POLICE REVIEW BOARD,Expense,51911,Sworn Salaries,Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement),1468158,1468158,3,Proposed
FY13-14,City Administrator,Citizens' Police Review Board,2211,Citizens' Police Review Board,1010,General Fund: General Purpose,IP06,CITIZENS POLICE REVIEW BOARD,Expense,55219,Operation & Maintenance,Miscellaneous Educational Expenditures,41,41,3,Proposed
FY13-14,City Administrator,Citizens' Police Review Board,2211,Citizens' Police Review Board,1010,General Fund: General Purpose,IP06,CITIZENS POLICE REVIEW BOARD,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,78181,78181,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1610,Successor Redevelopment Agency Reimbursement Fund,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,3179,3179,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1610,Successor Redevelopment Agency Reimbursement Fund,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,51411,Sworn Salaries,Shift Pay,426,426,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1610,Successor Redevelopment Agency Reimbursement Fund,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,1842,1842,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1610,Successor Redevelopment Agency Reimbursement Fund,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,2323,2323,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1610,Successor Redevelopment Agency Reimbursement Fund,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,51111,Civilian Salaries,Civilian: Regular,6668,6668,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,54919,Contract Services,Services: Miscellaneous Contract,5000,5000,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,52615,Services & Supplies,Records and Tapes - Unrecorded,974,974,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,52213,Services & Supplies,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",278,278,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,55214,Operation & Maintenance,On-Line Database Service,14707,14707,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,52921,Services & Supplies,Miscellaneous Operating Expenditures,5315,5315,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,55212,Operation & Maintenance,Registration and Tuition,640,640,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,53611,Services & Supplies,Postage and Mailing,350,350,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,53212,Services & Supplies,Rental: Equipment (Other Than Office Equipment),500,500,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,52911,Services & Supplies,Bottled Water and Food for Human Consumption,111,111,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,52914,Services & Supplies,Minor Tools and Equipment,20000,20000,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,51111,Civilian Salaries,Civilian: Regular,153045,153045,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,55311,Operation & Maintenance,Memberships: Employee Association Dues,200,200,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,53116,Services & Supplies,Telephone,5500,5500,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,52614,Services & Supplies,Books,150,150,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,52920,Services & Supplies,Supplies and Equipment,10262,10262,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,72958,72958,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,53327,53327,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,53719,Services & Supplies,Miscellaneous Services,80500,80500,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,56411,Internal Services & Work Orders,City Vehicle Rentals,6019,6019,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,52617,Services & Supplies,"Posters, Maps, and Pictures",500,500,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Revenue,45729,Service Charges,Other Svc Charges: Miscellaneous Service Charges,5000,5000,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,52919,Services & Supplies,Supplies: Miscellaneous and Commodities,151,151,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,51428,Sworn Salaries,Premium: Bilingual,4219,4219,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,51111,Civilian Salaries,Civilian: Regular,205118,205118,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,55211,Operation & Maintenance,Periodical Subscriptions,100,100,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,54711,Contract Services,Printing and Duplicating Services,3500,3500,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Revenue,41613,Service Charges,Franchise: Cable TV,1505000,1505000,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,52615,Services & Supplies,Records and Tapes - Unrecorded,14600,14600,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,52913,Services & Supplies,Supplies: Technical and Scientific,24340,24340,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Revenue,45419,Service Charges,Other Fees: Miscellaneous,65000,65000,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,51411,Sworn Salaries,Shift Pay,5548,5548,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,42291,42291,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,53314,Services & Supplies,Advertising and Promotion,3720,3720,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,56312,Internal Services & Work Orders,Duplicating,3770,3770,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,53313,Services & Supplies,Official Hospitality,100,100,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,54930,Contract Services,Services: Professional,11290,11290,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,97781,97781,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,55112,Operation & Maintenance,Commercial Transportation,400,400,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,54611,Contract Services,Repair and Maintenance: Machinery and Equipment,3210,3210,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,53219,Services & Supplies,Rental: Miscellaneous,180,180,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,52913,Services & Supplies,Supplies: Technical and Scientific,17612,17612,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,52211,Services & Supplies,Stationery and Office Supplies,1675,1675,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,71471,71471,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,55119,Operation & Maintenance,"Miscellaneous Travel Expenditures (Tips, Parking)",100,100,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,55114,Operation & Maintenance,Per Diem and Lodging,350,350,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,52213,Services & Supplies,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",4725,4725,3,Proposed
FY13-14,City Administrator,Administration,63221,KTOP Operations,1760,Telecommunications Reserve,IP13,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,56678,56678,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,23343,23343,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,17062,17062,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,13531,13531,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,51111,Civilian Salaries,Civilian: Regular,48966,48966,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,Expense,54723,Contract Services,Advertising: Display,4550,4550,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,Expense,53719,Services & Supplies,Miscellaneous Services,990,990,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,Expense,53311,Services & Supplies,City Promotion,1670,1670,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,Expense,52213,Services & Supplies,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",2430,2430,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,Expense,51111,Civilian Salaries,Civilian: Regular,145751,145751,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,69480,69480,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,Expense,56413,Internal Services & Work Orders,Pool Vehicle Usage,1058,1058,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,Expense,55212,Operation & Maintenance,Registration and Tuition,3360,3360,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,Expense,55112,Operation & Maintenance,Commercial Transportation,1880,1880,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,Expense,54711,Contract Services,Printing and Duplicating Services,3180,3180,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,Revenue,45419,Service Charges,Other Fees: Miscellaneous,79002,79002,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,Expense,53611,Services & Supplies,Postage and Mailing,3380,3380,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,Expense,53116,Services & Supplies,Telephone,9010,9010,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,50785,50785,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,Expense,51313,Civilian Salaries,"Allowance: Auto Flat (1, 2, Partially 3)",4200,4200,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,Expense,54722,Contract Services,Advertising: Classified,1600,1600,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,40274,40274,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,Expense,56312,Internal Services & Work Orders,Duplicating,10340,10340,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,Expense,55311,Operation & Maintenance,Memberships: Employee Association Dues,530,530,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,Expense,52211,Services & Supplies,Stationery and Office Supplies,3030,3030,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,Expense,56123,Internal Services & Work Orders,City Accounting Services,1593,1593,3,Proposed
FY13-14,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,Expense,52212,Services & Supplies,"Minor Furniture and Office Equipment (No Asset Number, Not Capitalized)",3900,3900,3,Proposed
FY13-14,City Administrator,Contract Compliance,2621,Employment Services,1010,General Fund: General Purpose,IP10,CONTRACT COMPLIANCE PROGRAM & EMPLOYMENT SERVICES,Expense,53116,Services & Supplies,Telephone,2330,2330,3,Proposed
FY13-14,City Administrator,Contract Compliance,2621,Employment Services,1010,General Fund: General Purpose,IP10,CONTRACT COMPLIANCE PROGRAM & EMPLOYMENT SERVICES,Expense,51111,Civilian Salaries,Civilian: Regular,390215,390215,3,Proposed
FY13-14,City Administrator,Contract Compliance,2621,Employment Services,1010,General Fund: General Purpose,IP10,CONTRACT COMPLIANCE PROGRAM & EMPLOYMENT SERVICES,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,186020,186020,3,Proposed
FY13-14,City Administrator,Contract Compliance,2621,Employment Services,1010,General Fund: General Purpose,IP10,CONTRACT COMPLIANCE PROGRAM & EMPLOYMENT SERVICES,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,135965,135965,3,Proposed
FY13-14,City Administrator,Contract Compliance,2621,Employment Services,1010,General Fund: General Purpose,IP10,CONTRACT COMPLIANCE PROGRAM & EMPLOYMENT SERVICES,Expense,54211,Contract Services,Data Processing Services,240,240,3,Proposed
FY13-14,City Administrator,Contract Compliance,2621,Employment Services,1010,General Fund: General Purpose,IP10,CONTRACT COMPLIANCE PROGRAM & EMPLOYMENT SERVICES,Expense,52213,Services & Supplies,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",1240,1240,3,Proposed
FY13-14,City Administrator,Contract Compliance,2621,Employment Services,1010,General Fund: General Purpose,IP10,CONTRACT COMPLIANCE PROGRAM & EMPLOYMENT SERVICES,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,107827,107827,3,Proposed
FY13-14,City Administrator,Contract Compliance,2621,Employment Services,1010,General Fund: General Purpose,IP10,CONTRACT COMPLIANCE PROGRAM & EMPLOYMENT SERVICES,Expense,53611,Services & Supplies,Postage and Mailing,1500,1500,3,Proposed
FY13-14,City Administrator,Contract Compliance,2621,Employment Services,1010,General Fund: General Purpose,IP10,CONTRACT COMPLIANCE PROGRAM & EMPLOYMENT SERVICES,Expense,52211,Services & Supplies,Stationery and Office Supplies,4530,4530,3,Proposed
FY13-14,City Administrator,Contract Compliance,2621,Employment Services,1010,General Fund: General Purpose,IP10,CONTRACT COMPLIANCE PROGRAM & EMPLOYMENT SERVICES,Expense,55219,Operation & Maintenance,Miscellaneous Educational Expenditures,2060,2060,3,Proposed
FY13-14,City Administrator,Contract Compliance,2621,Employment Services,1010,General Fund: General Purpose,IP10,CONTRACT COMPLIANCE PROGRAM & EMPLOYMENT SERVICES,Expense,52614,Services & Supplies,Books,210,210,3,Proposed
FY13-14,City Administrator,Contract Compliance,2621,Employment Services,1010,General Fund: General Purpose,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,17961,17961,3,Proposed
FY13-14,City Administrator,Contract Compliance,2621,Employment Services,1010,General Fund: General Purpose,IP28,PURCHASING AND CONTRACT ADMINISTRATION,Expense,51428,Sworn Salaries,Premium: Bilingual,3290,3290,3,Proposed
