Fiscal Year Range,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Code,Project Description,Program Code,Program Description,Account Category,Account Code,Account Description,Amount,Budget Type,Budget Name,Amount as number
FY16-17,Expense,Finance,Revenue,8431,Revenue: Business Tax,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Salaries,51111,Civilian: Regular,541550,3,Proposed,541550
FY16-17,Expense,Finance,Revenue,8431,Revenue: Business Tax,2413,Rent Adjustment Program Fund,P190020,RENT ADJUSTMENT-FUND 2413,IP59,FINANCIAL MANAGEMENT,Civilian Salaries,51511,Civilian: Paid Leave Charge,12825,3,Proposed,12825
FY16-17,Expense,Finance,Revenue,8431,Revenue: Business Tax,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP62,TECHNOLOGY MANAGEMENT,Civilian Salaries,51111,Civilian: Regular,73872,3,Proposed,73872
FY16-17,Expense,Finance,Revenue,8431,Revenue: Business Tax,2413,Rent Adjustment Program Fund,P190020,RENT ADJUSTMENT-FUND 2413,IP59,FINANCIAL MANAGEMENT,Civilian Salaries,51111,Civilian: Regular,43180,3,Proposed,43180
FY16-17,Revenue,Finance,Revenue,8431,Revenue: Business Tax,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Service Charges,45729,Other Svc Charges: Miscellaneous Service Charges,318881,3,Proposed,318881
FY16-17,Expense,Finance,Revenue,8431,Revenue: Business Tax,2413,Rent Adjustment Program Fund,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Salaries,51511,Civilian: Paid Leave Charge,12185,3,Proposed,12185
FY16-17,Expense,Finance,Revenue,8431,Revenue: Business Tax,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP62,TECHNOLOGY MANAGEMENT,Civilian Salaries,51511,Civilian: Paid Leave Charge,21941,3,Proposed,21941
FY16-17,Expense,Finance,Revenue,8431,Revenue: Business Tax,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP62,TECHNOLOGY MANAGEMENT,Civilian Retirement,51611,Civilian: Retirement Accrual,33918,3,Proposed,33918
FY16-17,Expense,Finance,Revenue,8431,Revenue: Business Tax,2413,Rent Adjustment Program Fund,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,20703,3,Proposed,20703
FY16-17,Expense,Finance,Revenue,8431,Revenue: Business Tax,2413,Rent Adjustment Program Fund,P190020,RENT ADJUSTMENT-FUND 2413,IP59,FINANCIAL MANAGEMENT,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,21791,3,Proposed,21791
FY16-17,Revenue,Finance,Revenue,8431,Revenue: Business Tax,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Fines & Penalties,43223,Penalties: Notice of Violation,22000,3,Proposed,22000
FY16-17,Expense,Finance,Revenue,8431,Revenue: Business Tax,2310,Lighting and Landscape Assessment District,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Internal Services & Work Orders,56312,Duplicating,1070,3,Proposed,1070
FY16-17,Expense,Finance,Revenue,8431,Revenue: Business Tax,2413,Rent Adjustment Program Fund,P190020,RENT ADJUSTMENT-FUND 2413,IP59,FINANCIAL MANAGEMENT,Civilian Retirement,51611,Civilian: Retirement Accrual,19826,3,Proposed,19826
FY16-17,Expense,Finance,Revenue,8431,Revenue: Business Tax,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP62,TECHNOLOGY MANAGEMENT,Civilian Salaries,51420,License,2395,3,Proposed,2395
FY16-17,Expense,Finance,Revenue,8431,Revenue: Business Tax,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Salaries,51429,Premium: Notary Public Pay,1360,3,Proposed,1360
FY16-17,Expense,Finance,Revenue,8431,Revenue: Business Tax,2413,Rent Adjustment Program Fund,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Retirement,51611,Civilian: Retirement Accrual,18836,3,Proposed,18836
FY16-17,Expense,Finance,Revenue,8431,Revenue: Business Tax,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Overtime,51212,Civilian: Other Overtime,550,3,Proposed,550
FY16-17,Revenue,Finance,Revenue,8441,Revenue: Collections/Mandatory Garbage,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Fines & Penalties,43323,Collections: Collection Fee,90112,3,Proposed,90112
FY16-17,Revenue,Finance,Revenue,8441,Revenue: Collections/Mandatory Garbage,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Service Charges,45715,Other Svc Charges: Legal,16700,3,Proposed,16700
FY16-17,Expense,Finance,Revenue,8441,Revenue: Collections/Mandatory Garbage,1700,Mandatory Refuse Program,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Internal Services & Work Orders,56312,Duplicating,1200,3,Proposed,1200
FY16-17,Revenue,Finance,Revenue,8441,Revenue: Collections/Mandatory Garbage,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Fines & Penalties,43333,Collections: Promissory Note Administrative Fee,27202,3,Proposed,27202
FY16-17,Expense,Finance,Revenue,8441,Revenue: Collections/Mandatory Garbage,1700,Mandatory Refuse Program,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Contract Services,54711,Printing and Duplicating Services,10000,3,Proposed,10000
FY16-17,Revenue,Finance,Revenue,8441,Revenue: Collections/Mandatory Garbage,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Service Charges,45719,Other Svc Charges: Sewer Repair Reimbursement,2500,3,Proposed,2500
FY16-17,Revenue,Finance,Revenue,8441,Revenue: Collections/Mandatory Garbage,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Fines & Penalties,43326,Collections: Miscellaneous,10232,3,Proposed,10232
FY16-17,Expense,Finance,Revenue,8441,Revenue: Collections/Mandatory Garbage,1700,Mandatory Refuse Program,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Services & Supplies,52211,Stationery and Office Supplies,3500,3,Proposed,3500
FY16-17,Revenue,Finance,Revenue,8441,Revenue: Collections/Mandatory Garbage,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Fines & Penalties,43334,Collections: Interest on Judgments,38000,3,Proposed,38000
FY16-17,Expense,Finance,Revenue,8441,Revenue: Collections/Mandatory Garbage,1700,Mandatory Refuse Program,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,174334,3,Proposed,174334
FY16-17,Expense,Finance,Revenue,8441,Revenue: Collections/Mandatory Garbage,1700,Mandatory Refuse Program,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Salaries,51429,Premium: Notary Public Pay,680,3,Proposed,680
FY16-17,Expense,Finance,Revenue,8441,Revenue: Collections/Mandatory Garbage,1700,Mandatory Refuse Program,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Services & Supplies,53611,Postage and Mailing,6000,3,Proposed,6000
FY16-17,Expense,Finance,Revenue,8441,Revenue: Collections/Mandatory Garbage,1700,Mandatory Refuse Program,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Retirement,51611,Civilian: Retirement Accrual,158612,3,Proposed,158612
FY16-17,Revenue,Finance,Revenue,8441,Revenue: Collections/Mandatory Garbage,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Service Charges,45435,Other Fees: Credit Card,7430,3,Proposed,7430
FY16-17,Revenue,Finance,Revenue,8441,Revenue: Collections/Mandatory Garbage,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Fines & Penalties,43330,Collections: Parking Violations Bureau,150000,3,Proposed,150000
FY16-17,Expense,Finance,Revenue,8441,Revenue: Collections/Mandatory Garbage,1700,Mandatory Refuse Program,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Salaries,51511,Civilian: Paid Leave Charge,102603,3,Proposed,102603
FY16-17,Expense,Finance,Revenue,8441,Revenue: Collections/Mandatory Garbage,1700,Mandatory Refuse Program,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Salaries,51111,Civilian: Regular,345448,3,Proposed,345448
FY16-17,Expense,Finance,Revenue,8441,Revenue: Collections/Mandatory Garbage,1700,Mandatory Refuse Program,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Contract Services,54919,Services: Miscellaneous Contract,123580,3,Proposed,123580
FY16-17,Expense,Finance,Revenue,8451,Revenue:  Strategic Support,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Salaries,51511,Civilian: Paid Leave Charge,165716,3,Proposed,165716
FY16-17,Expense,Finance,Revenue,8451,Revenue:  Strategic Support,2417,Excess Litter Fee Fund,0000000,UNDETERMINED PROJECT,NB38,LITTER FREE PROGRAM,Contract Services,54919,Services: Miscellaneous Contract,44765,3,Proposed,44765
FY16-17,Expense,Finance,Revenue,8451,Revenue:  Strategic Support,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Contract Services,54111,Accounting and Auditing Services,350000,3,Proposed,350000
FY16-17,Expense,Finance,Revenue,8451,Revenue:  Strategic Support,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,281580,3,Proposed,281580
FY16-17,Revenue,Finance,Revenue,8451,Revenue:  Strategic Support,2417,Excess Litter Fee Fund,0000000,UNDETERMINED PROJECT,NB38,LITTER FREE PROGRAM,Service Charges,45433,Other Fees: Litter Fee,477928,3,Proposed,477928
FY16-17,Expense,Finance,Revenue,8451,Revenue:  Strategic Support,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Contract Services,54111,Accounting and Auditing Services,-150000,3,Proposed,-150000
FY16-17,Revenue,Finance,Revenue,8451,Revenue:  Strategic Support,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Service Charges,45729,Other Svc Charges: Miscellaneous Service Charges,4400,3,Proposed,4400
FY16-17,Expense,Finance,Revenue,8451,Revenue:  Strategic Support,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Salaries,51428,Premium: Bilingual,1170,3,Proposed,1170
FY16-17,Expense,Finance,Revenue,8451,Revenue:  Strategic Support,2413,Rent Adjustment Program Fund,P190020,RENT ADJUSTMENT-FUND 2413,IP59,FINANCIAL MANAGEMENT,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,28395,3,Proposed,28395
FY16-17,Expense,Finance,Revenue,8451,Revenue:  Strategic Support,2413,Rent Adjustment Program Fund,P190020,RENT ADJUSTMENT-FUND 2413,IP59,FINANCIAL MANAGEMENT,Civilian Salaries,51511,Civilian: Paid Leave Charge,16711,3,Proposed,16711
FY16-17,Expense,Finance,Revenue,8451,Revenue:  Strategic Support,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Retirement,51611,Civilian: Retirement Accrual,256179,3,Proposed,256179
FY16-17,Revenue,Finance,Revenue,8451,Revenue:  Strategic Support,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Service Charges,45742,Other Svc Charges: MGS Demand Letter Fee,10000,3,Proposed,10000
FY16-17,Expense,Finance,Revenue,8451,Revenue:  Strategic Support,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Salaries,51111,Civilian: Regular,557949,3,Proposed,557949
FY16-17,Expense,Finance,Revenue,8451,Revenue:  Strategic Support,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP60,PARKING MANAGEMENT,Contract Services,54111,Accounting and Auditing Services,22000,3,Proposed,22000
FY16-17,Expense,Finance,Revenue,8451,Revenue:  Strategic Support,2413,Rent Adjustment Program Fund,P190020,RENT ADJUSTMENT-FUND 2413,IP59,FINANCIAL MANAGEMENT,Civilian Retirement,51611,Civilian: Retirement Accrual,25833,3,Proposed,25833
FY16-17,Expense,Finance,Revenue,8451,Revenue:  Strategic Support,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Services & Supplies,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",22758,3,Proposed,22758
FY16-17,Expense,Finance,Revenue,8451,Revenue:  Strategic Support,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Contract Services,54919,Services: Miscellaneous Contract,84770,3,Proposed,84770
FY16-17,Expense,Finance,Revenue,8451,Revenue:  Strategic Support,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Overtime,51212,Civilian: Other Overtime,1530,3,Proposed,1530
FY16-17,Expense,Finance,Revenue,8451,Revenue:  Strategic Support,2413,Rent Adjustment Program Fund,P190020,RENT ADJUSTMENT-FUND 2413,IP59,FINANCIAL MANAGEMENT,Civilian Salaries,51111,Civilian: Regular,56265,3,Proposed,56265
FY16-17,Expense,Finance,Revenue,8451,Revenue:  Strategic Support,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Other Expenditures and Disbursments,58714,Other Refunds,106100,3,Proposed,106100
FY16-17,Expense,Finance,Treasury,8711,Treasury: Administration,1610,Successor Redevelopment Agency Reimbursement Fund,A453210,SUCCESSOR AGENCY-ADMIN,IP59,FINANCIAL MANAGEMENT,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,6077,3,Proposed,6077
FY16-17,Expense,Finance,Treasury,8711,Treasury: Administration,1610,Successor Redevelopment Agency Reimbursement Fund,A453210,SUCCESSOR AGENCY-ADMIN,IP59,FINANCIAL MANAGEMENT,Civilian Salaries,51511,Civilian: Paid Leave Charge,3576,3,Proposed,3576
FY16-17,Expense,Finance,Treasury,8711,Treasury: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Retirement,51611,Civilian: Retirement Accrual,48074,3,Proposed,48074
FY16-17,Expense,Finance,Treasury,8711,Treasury: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,52841,3,Proposed,52841
FY16-17,Expense,Finance,Treasury,8711,Treasury: Administration,1610,Successor Redevelopment Agency Reimbursement Fund,A453210,SUCCESSOR AGENCY-ADMIN,IP59,FINANCIAL MANAGEMENT,Civilian Salaries,51111,Civilian: Regular,12041,3,Proposed,12041
FY16-17,Expense,Finance,Treasury,8711,Treasury: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Salaries,51111,Civilian: Regular,104704,3,Proposed,104704
FY16-17,Expense,Finance,Treasury,8711,Treasury: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Salaries,51511,Civilian: Paid Leave Charge,31098,3,Proposed,31098
FY16-17,Expense,Finance,Treasury,8711,Treasury: Administration,1610,Successor Redevelopment Agency Reimbursement Fund,A453210,SUCCESSOR AGENCY-ADMIN,IP59,FINANCIAL MANAGEMENT,Services & Supplies,53719,Miscellaneous Services,151297,3,Proposed,151297
FY16-17,Expense,Finance,Treasury,8711,Treasury: Administration,1610,Successor Redevelopment Agency Reimbursement Fund,A453210,SUCCESSOR AGENCY-ADMIN,IP59,FINANCIAL MANAGEMENT,Internal Services & Work Orders,56123,City Accounting Services,700,3,Proposed,700
FY16-17,Expense,Finance,Treasury,8711,Treasury: Administration,1610,Successor Redevelopment Agency Reimbursement Fund,A453210,SUCCESSOR AGENCY-ADMIN,IP59,FINANCIAL MANAGEMENT,Civilian Retirement,51611,Civilian: Retirement Accrual,5528,3,Proposed,5528
FY16-17,Expense,Finance,Treasury,8721,Treasury: Operations,3100,Sewer Service Fund,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Debt Payments,58111,Bank and Bond Expenditures,5000,3,Proposed,5000
FY16-17,Revenue,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Service Charges,45729,Other Svc Charges: Miscellaneous Service Charges,155000,3,Proposed,155000
FY16-17,Revenue,Finance,Treasury,8721,Treasury: Operations,2211,Measure B: ACTIA,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Interest Income,44112,Interest: Investments,10920,3,Proposed,10920
FY16-17,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Salaries,51111,Civilian: Regular,354599,3,Proposed,354599
FY16-17,Expense,Finance,Treasury,8721,Treasury: Operations,1610,Successor Redevelopment Agency Reimbursement Fund,A453210,SUCCESSOR AGENCY-ADMIN,IP59,FINANCIAL MANAGEMENT,Civilian Salaries,51313,"Allowance: Auto Flat (1, 2, Partially 3)",1260,3,Proposed,1260
FY16-17,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Travel & Education,55219,Miscellaneous Educational Expenditures,6100,3,Proposed,6100
FY16-17,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Contract Services,54721,Advertising: Legal,3000,3,Proposed,3000
FY16-17,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Contract Services,54611,Repair and Maintenance: Machinery and Equipment,1400,3,Proposed,1400
FY16-17,Revenue,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Fines & Penalties,43112,Fines: City Traffic Code,21246009,3,Proposed,21246009
FY16-17,Expense,Finance,Treasury,8721,Treasury: Operations,6587,2012 Refunding Reassessment Bonds-Debt Service,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Salaries,51111,Civilian: Regular,28423,3,Proposed,28423
FY16-17,Revenue,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP60,PARKING MANAGEMENT,Fines & Penalties,43112,Fines: City Traffic Code,900000,3,Proposed,900000
FY16-17,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Travel & Education,55311,Memberships: Employee Association Dues,1300,3,Proposed,1300
FY16-17,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Services & Supplies,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",6980,3,Proposed,6980
FY16-17,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Civilian Salaries,51511,Civilian: Paid Leave Charge,105322,3,Proposed,105322
FY16-17,Expense,Finance,Treasury,8721,Treasury: Operations,1610,Successor Redevelopment Agency Reimbursement Fund,A453210,SUCCESSOR AGENCY-ADMIN,IP59,FINANCIAL MANAGEMENT,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,28671,3,Proposed,28671
FY16-17,Revenue,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Service Charges,44419,Other Rental: Miscellaneous,449000,3,Proposed,449000
FY16-17,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Travel & Education,55113,Meals,1500,3,Proposed,1500
FY16-17,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Debt Payments,58112,Bank and Credit Card Fees,250000,3,Proposed,250000
FY16-17,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Recoveries,62236,City Accounting Recoveries,-1518476,3,Proposed,-1518476
FY16-17,Revenue,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Sales Tax,41313,Sales and Use Tax: Proposition 172,2994730,3,Proposed,2994730
FY16-17,Revenue,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Property Tax,41128,Property Tax:  Redevelopment Trust Funds (RPTTF),15301385,3,Proposed,15301385
FY16-17,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Contract Services,54924,Services: County Administrative Cost & Commission,1244188,3,Proposed,1244188
FY16-17,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Debt Payments,58111,Bank and Bond Expenditures,300000,3,Proposed,300000
FY16-17,Revenue,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Transient Occupancy Tax,41515,Local Taxes: Transient Occupancy Tax,17056000,3,Proposed,17056000
FY16-17,Revenue,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Service Charges,45435,Other Fees: Credit Card,250000,3,Proposed,250000
FY16-17,Revenue,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Service Charges,45311,Parking Fee: On Street Parking Meters,13667415,3,Proposed,13667415
FY16-17,Revenue,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Licenses & Permits,42416,Special Permits: Residential Parking,694860,3,Proposed,694860
FY16-17,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Services & Supplies,52921,Miscellaneous Operating Expenditures,5280,3,Proposed,5280
FY16-17,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Services & Supplies,52911,Bottled Water and Food for Human Consumption,290,3,Proposed,290
FY16-17,Revenue,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Fines & Penalties,43211,Penalties: General Property Tax,594163,3,Proposed,594163
FY16-17,Revenue,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Service Charges,41611,Franchise: Gas and Electric,2544358,3,Proposed,2544358
FY16-17,Revenue,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Property Tax,41120,Property Tax: Aircraft In-Lieu,2282727,3,Proposed,2282727
FY16-17,Revenue,Finance,Treasury,8721,Treasury: Operations,2310,Lighting and Landscape Assessment District,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Local Tax,41518,Local Taxes: Lighting/Landscaping Assessment,19300000,3,Proposed,19300000
FY16-17,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Services & Supplies,53411,Insurance and Bonding,5000,3,Proposed,5000
FY16-17,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Services & Supplies,52211,Stationery and Office Supplies,6880,3,Proposed,6880
FY16-17,Revenue,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Real Estate Transfer Tax,41514,Local Taxes: Real Estate Transfer Tax,57707706,3,Proposed,57707706
FY16-17,Revenue,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Property Tax,41122,Property Tax: County Interest Apportionment,10007,3,Proposed,10007
FY16-17,Revenue,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP38,PARKING METER COLLECTIONS,Service Charges,45311,Parking Fee: On Street Parking Meters,271275,3,Proposed,271275
FY16-17,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Services & Supplies,53116,Telephone,11000,3,Proposed,11000
FY16-17,Revenue,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Property Tax,41124,Property Tax: Miscellaneous,41714,3,Proposed,41714
FY16-17,Revenue,Finance,Treasury,8721,Treasury: Operations,1750,Multipurpose Reserve,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Interest Income,44112,Interest: Investments,-25000,3,Proposed,-25000
FY16-17,Expense,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Travel & Education,55114,Per Diem and Lodging,5000,3,Proposed,5000
FY16-17,Revenue,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Service Charges,41612,Franchise: Refuse,4849128,3,Proposed,4849128
FY16-17,Revenue,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP59,FINANCIAL MANAGEMENT,Service Charges,41617,Franchise: Sewer,4238750,3,Proposed,4238750
