Fiscal Year Range,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Program Code,Program Description,Account Code,Account Description,Account Category,Amount as number,Budget Type,Budget Name,Amount
FY16-17,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,51611,Civilian: Retirement Accrual,Civilian Retirement,98200,2,Adjusted,98200
FY16-17,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,52211,Stationery and Office Supplies,Services & Supplies,3000,2,Adjusted,3000
FY16-17,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,53116,Telephone,Services & Supplies,26020,2,Adjusted,26020
FY16-17,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,53116,Telephone,Services & Supplies,1500,2,Adjusted,1500
FY16-17,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,53313,Official Hospitality,Services & Supplies,9000,2,Adjusted,9000
FY16-17,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,53313,Official Hospitality,Services & Supplies,800,2,Adjusted,800
FY16-17,Expense,City Council,City Council,711,District Seven,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,53313,Official Hospitality,Services & Supplies,850,2,Adjusted,850
FY16-17,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,53611,Postage and Mailing,Services & Supplies,400,2,Adjusted,400
FY16-17,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,54711,Printing and Duplicating Services,Contract Services,200,2,Adjusted,200
FY16-17,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,54919,Services: Miscellaneous Contract,Contract Services,750,2,Adjusted,750
FY16-17,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,54919,Services: Miscellaneous Contract,Contract Services,1250,2,Adjusted,1250
FY16-17,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,54919,Services: Miscellaneous Contract,Contract Services,600,2,Adjusted,600
FY16-17,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",Travel & Education,1000,2,Adjusted,1000
FY16-17,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,55112,Commercial Transportation,Travel & Education,100,2,Adjusted,100
FY16-17,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,55212,Registration and Tuition,Travel & Education,1000,2,Adjusted,1000
FY16-17,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,56312,Duplicating,Internal Services & Work Orders,7170,2,Adjusted,7170
FY16-17,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,56312,Duplicating,Internal Services & Work Orders,900,2,Adjusted,900
FY16-17,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,56111,Special Setups,Internal Services & Work Orders,13315,2,Adjusted,13315
FY16-17,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,51313,"Allowance: Auto Flat (1, 2, Partially 3)",Allowances & Premiums,6600,2,Adjusted,6600
FY16-17,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,51313,"Allowance: Auto Flat (1, 2, Partially 3)",Allowances & Premiums,6600,2,Adjusted,6600
FY16-17,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,103456,2,Adjusted,103456
FY16-17,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,53116,Telephone,Services & Supplies,800,2,Adjusted,800
FY16-17,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,53116,Telephone,Services & Supplies,1100,2,Adjusted,1100
FY16-17,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,53214,Leased: Vehicles for City Use,Services & Supplies,80,2,Adjusted,80
FY16-17,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,53313,Official Hospitality,Services & Supplies,2910,2,Adjusted,2910
FY16-17,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,53313,Official Hospitality,Services & Supplies,490,2,Adjusted,490
FY16-17,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,54619,Repair and Maintenance: Miscellaneous,Contract Services,360,2,Adjusted,360
FY16-17,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,54619,Repair and Maintenance: Miscellaneous,Contract Services,250,2,Adjusted,250
FY16-17,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,55212,Registration and Tuition,Travel & Education,1500,2,Adjusted,1500
FY16-17,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,55211,Periodical Subscriptions,Travel & Education,250,2,Adjusted,250
FY16-17,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,56312,Duplicating,Internal Services & Work Orders,300,2,Adjusted,300
FY16-17,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,56124,City Contract Compliance Dept-Purchasing Services,Internal Services & Work Orders,1700,2,Adjusted,1700
FY16-17,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,56111,Special Setups,Internal Services & Work Orders,4714,2,Adjusted,4714
FY16-17,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,51111,Civilian: Regular,Civilian Salaries,233429,2,Adjusted,233429
FY16-17,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,51111,Civilian: Regular,Civilian Salaries,233429,2,Adjusted,233429
FY16-17,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,51111,Civilian: Regular,Civilian Salaries,141402,2,Adjusted,141402
FY16-17,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,51313,"Allowance: Auto Flat (1, 2, Partially 3)",Allowances & Premiums,6600,2,Adjusted,6600
FY16-17,Expense,City Council,City Council,711,District Seven,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,51511,Civilian: Paid Leave Charge,Civilian Salaries,43972,2,Adjusted,43972
FY16-17,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,51511,Civilian: Paid Leave Charge,Civilian Salaries,43972,2,Adjusted,43972
FY16-17,Expense,City Council,City Council,711,District Seven,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,103456,2,Adjusted,103456
FY16-17,Expense,City Council,City Council,711,District Seven,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,51611,Civilian: Retirement Accrual,Civilian Retirement,98200,2,Adjusted,98200
FY16-17,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,52212,"Minor Furniture and Office Equipment (No Asset Number, Not Capitalized)",Services & Supplies,260,2,Adjusted,260
FY16-17,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,52614,Books,Services & Supplies,30,2,Adjusted,30
FY16-17,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,53719,Miscellaneous Services,Services & Supplies,100,2,Adjusted,100
FY16-17,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,53611,Postage and Mailing,Services & Supplies,300,2,Adjusted,300
FY16-17,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,53611,Postage and Mailing,Services & Supplies,230,2,Adjusted,230
FY16-17,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,54711,Printing and Duplicating Services,Contract Services,300,2,Adjusted,300
FY16-17,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,54919,Services: Miscellaneous Contract,Contract Services,500,2,Adjusted,500
FY16-17,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,54919,Services: Miscellaneous Contract,Contract Services,400,2,Adjusted,400
FY16-17,Expense,City Council,City Council,911,Council At Large,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",Travel & Education,2260,2,Adjusted,2260
FY16-17,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,55114,Per Diem and Lodging,Travel & Education,200,2,Adjusted,200
FY16-17,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,55114,Per Diem and Lodging,Travel & Education,300,2,Adjusted,300
FY16-17,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,55114,Per Diem and Lodging,Travel & Education,750,2,Adjusted,750
FY16-17,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,55114,Per Diem and Lodging,Travel & Education,1300,2,Adjusted,1300
FY16-17,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,55112,Commercial Transportation,Travel & Education,220,2,Adjusted,220
FY16-17,Expense,City Council,City Council,711,District Seven,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,55212,Registration and Tuition,Travel & Education,700,2,Adjusted,700
FY16-17,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,56123,City Accounting Services,Internal Services & Work Orders,3110,2,Adjusted,3110
FY16-17,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,56111,Special Setups,Internal Services & Work Orders,4714,2,Adjusted,4714
FY16-17,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,51111,Civilian: Regular,Civilian Salaries,233429,2,Adjusted,233429
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,CE02,CULTURAL FUNDING PROGRAM,51111,Civilian: Regular,Civilian Salaries,67550,2,Adjusted,67550
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85111,Admin: Economic & Workforce Development,1010,General Fund: General Purpose,SC27,NEIGHBORHOOD INVESTMENT,51429,Premium: Notary Public Pay,Allowances & Premiums,204,2,Adjusted,204
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85111,Admin: Economic & Workforce Development,1010,General Fund: General Purpose,SC11,"BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,87733,2,Adjusted,87733
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85411,Economic Development,1010,General Fund: General Purpose,SC11,"BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",51611,Civilian: Retirement Accrual,Civilian Retirement,194431,2,Adjusted,194431
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85111,Admin: Economic & Workforce Development,1010,General Fund: General Purpose,SC11,"BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",51611,Civilian: Retirement Accrual,Civilian Retirement,83242,2,Adjusted,83242
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85411,Economic Development,1010,General Fund: General Purpose,SC11,"BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",52211,Stationery and Office Supplies,Services & Supplies,2400,2,Adjusted,2400
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85231,Real Estate,1010,General Fund: General Purpose,PS32,REAL ESTATE,54619,Repair and Maintenance: Miscellaneous,Contract Services,1830,2,Adjusted,1830
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,SC02,MARKETING & SPECIAL EVENTS,55113,Meals,Travel & Education,1000,2,Adjusted,1000
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,SC02,MARKETING & SPECIAL EVENTS,55112,Commercial Transportation,Travel & Education,1000,2,Adjusted,1000
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85411,Economic Development,1010,General Fund: General Purpose,SC11,"BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",55212,Registration and Tuition,Travel & Education,1200,2,Adjusted,1200
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85411,Economic Development,1010,General Fund: General Purpose,SC11,"BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",56124,City Contract Compliance Dept-Purchasing Services,Internal Services & Work Orders,1360,2,Adjusted,1360
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85231,Real Estate,1010,General Fund: General Purpose,PS32,REAL ESTATE,56113,Facilities: General Support,Internal Services & Work Orders,1122717,2,Adjusted,1122717
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85111,Admin: Economic & Workforce Development,1010,General Fund: General Purpose,SC03,WORKFORCE DEVELOPMENT,56111,Special Setups,Internal Services & Work Orders,1336,2,Adjusted,1336
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,CE02,CULTURAL FUNDING PROGRAM,56111,Special Setups,Internal Services & Work Orders,1489,2,Adjusted,1489
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85221,Project Implementation: Staffing,1010,General Fund: General Purpose,SC27,NEIGHBORHOOD INVESTMENT,51511,Civilian: Paid Leave Charge,Civilian Salaries,26995,2,Adjusted,26995
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85111,Admin: Economic & Workforce Development,1010,General Fund: General Purpose,SC11,"BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",51313,"Allowance: Auto Flat (1, 2, Partially 3)",Allowances & Premiums,2100,2,Adjusted,2100
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85111,Admin: Economic & Workforce Development,1010,General Fund: General Purpose,SC03,WORKFORCE DEVELOPMENT,51313,"Allowance: Auto Flat (1, 2, Partially 3)",Allowances & Premiums,2100,2,Adjusted,2100
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85521,Public Art,1010,General Fund: General Purpose,CE02,CULTURAL FUNDING PROGRAM,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,22862,2,Adjusted,22862
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85231,Real Estate,1010,General Fund: General Purpose,PS32,REAL ESTATE,53219,Rental: Miscellaneous,Services & Supplies,7300,2,Adjusted,7300
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,SC02,MARKETING & SPECIAL EVENTS,53719,Miscellaneous Services,Services & Supplies,5000,2,Adjusted,5000
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85231,Real Estate,1010,General Fund: General Purpose,PS32,REAL ESTATE,54919,Services: Miscellaneous Contract,Contract Services,1750,2,Adjusted,1750
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85411,Economic Development,1010,General Fund: General Purpose,SC11,"BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",55114,Per Diem and Lodging,Travel & Education,2400,2,Adjusted,2400
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,SC02,MARKETING & SPECIAL EVENTS,56312,Duplicating,Internal Services & Work Orders,5000,2,Adjusted,5000
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,SC02,MARKETING & SPECIAL EVENTS,51111,Civilian: Regular,Civilian Salaries,238040,2,Adjusted,238040
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,SC02,MARKETING & SPECIAL EVENTS,51511,Civilian: Paid Leave Charge,Civilian Salaries,70702,2,Adjusted,70702
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85521,Public Art,1010,General Fund: General Purpose,CE01,PUBLIC ART PROGRAM,51511,Civilian: Paid Leave Charge,Civilian Salaries,14032,2,Adjusted,14032
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,SC02,MARKETING & SPECIAL EVENTS,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,115192,2,Adjusted,115192
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85521,Public Art,1010,General Fund: General Purpose,CE01,PUBLIC ART PROGRAM,51611,Civilian: Retirement Accrual,Civilian Retirement,21691,2,Adjusted,21691
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85411,Economic Development,1010,General Fund: General Purpose,SC11,"BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",51122,Temporary: Regular Part Time,Civilian Salaries,18328,2,Adjusted,18328
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85231,Real Estate,1010,General Fund: General Purpose,PS32,REAL ESTATE,51111,Civilian: Regular,Civilian Salaries,75959,2,Adjusted,75959
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85111,Admin: Economic & Workforce Development,1010,General Fund: General Purpose,SC11,"BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",51111,Civilian: Regular,Civilian Salaries,181298,2,Adjusted,181298
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85111,Admin: Economic & Workforce Development,1010,General Fund: General Purpose,SC03,WORKFORCE DEVELOPMENT,51111,Civilian: Regular,Civilian Salaries,60629,2,Adjusted,60629
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85111,Admin: Economic & Workforce Development,1010,General Fund: General Purpose,SC03,WORKFORCE DEVELOPMENT,51511,Civilian: Paid Leave Charge,Civilian Salaries,18008,2,Adjusted,18008
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,CE02,CULTURAL FUNDING PROGRAM,51511,Civilian: Paid Leave Charge,Civilian Salaries,20063,2,Adjusted,20063
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85411,Economic Development,1010,General Fund: General Purpose,SC11,"BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,206145,2,Adjusted,206145
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85111,Admin: Economic & Workforce Development,1010,General Fund: General Purpose,SC03,WORKFORCE DEVELOPMENT,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,29339,2,Adjusted,29339
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,CE02,CULTURAL FUNDING PROGRAM,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,32689,2,Adjusted,32689
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85231,Real Estate,1010,General Fund: General Purpose,PS32,REAL ESTATE,51611,Civilian: Retirement Accrual,Civilian Retirement,34876,2,Adjusted,34876
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85111,Admin: Economic & Workforce Development,1010,General Fund: General Purpose,SC27,NEIGHBORHOOD INVESTMENT,51611,Civilian: Retirement Accrual,Civilian Retirement,27113,2,Adjusted,27113
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85411,Economic Development,1010,General Fund: General Purpose,SC11,"BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",51627,Retirement Contributions,Civilian Retirement,711,2,Adjusted,711
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,SC02,MARKETING & SPECIAL EVENTS,52211,Stationery and Office Supplies,Services & Supplies,5000,2,Adjusted,5000
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,SC02,MARKETING & SPECIAL EVENTS,53116,Telephone,Services & Supplies,1300,2,Adjusted,1300
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85411,Economic Development,1010,General Fund: General Purpose,SC11,"BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",53719,Miscellaneous Services,Services & Supplies,1200,2,Adjusted,1200
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,SC02,MARKETING & SPECIAL EVENTS,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",Travel & Education,1000,2,Adjusted,1000
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85411,Economic Development,1010,General Fund: General Purpose,SC11,"BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",55112,Commercial Transportation,Travel & Education,1200,2,Adjusted,1200
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,SC02,MARKETING & SPECIAL EVENTS,55212,Registration and Tuition,Travel & Education,1000,2,Adjusted,1000
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85111,Admin: Economic & Workforce Development,1010,General Fund: General Purpose,SC11,"BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",56113,Facilities: General Support,Internal Services & Work Orders,133903,2,Adjusted,133903
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85221,Project Implementation: Staffing,1010,General Fund: General Purpose,SC27,NEIGHBORHOOD INVESTMENT,51111,Civilian: Regular,Civilian Salaries,90888,2,Adjusted,90888
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85231,Real Estate,1010,General Fund: General Purpose,PS32,REAL ESTATE,52111,Agricultural Chemicals,Services & Supplies,1800,2,Adjusted,1800
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,SC02,MARKETING & SPECIAL EVENTS,53311,City Promotion,Services & Supplies,105100,2,Adjusted,105100
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85411,Economic Development,1010,General Fund: General Purpose,SC11,"BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",55214,On-Line Database Service,Travel & Education,28080,2,Adjusted,28080
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85411,Economic Development,1010,General Fund: General Purpose,SC11,"BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",55311,Memberships: Employee Association Dues,Travel & Education,1200,2,Adjusted,1200
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,SC02,MARKETING & SPECIAL EVENTS,55311,Memberships: Employee Association Dues,Travel & Education,1000,2,Adjusted,1000
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85311,Workforce Development,1010,General Fund: General Purpose,SC03,WORKFORCE DEVELOPMENT,56124,City Contract Compliance Dept-Purchasing Services,Internal Services & Work Orders,680,2,Adjusted,680
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,SC02,MARKETING & SPECIAL EVENTS,56111,Special Setups,Internal Services & Work Orders,5247,2,Adjusted,5247
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85521,Public Art,1010,General Fund: General Purpose,CE01,PUBLIC ART PROGRAM,56111,Special Setups,Internal Services & Work Orders,784,2,Adjusted,784
FY16-17,Revenue,Economic & Workforce Development,Economic & Workforce Development,85231,Real Estate,1010,General Fund: General Purpose,PS32,REAL ESTATE,44419,Other Rental: Miscellaneous,Service Charges,882521,2,Adjusted,882521
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,SC02,MARKETING & SPECIAL EVENTS,51611,Civilian: Retirement Accrual,Civilian Retirement,109296,2,Adjusted,109296
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85231,Real Estate,1010,General Fund: General Purpose,PS32,REAL ESTATE,51511,Civilian: Paid Leave Charge,Civilian Salaries,22561,2,Adjusted,22561
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85231,Real Estate,1010,General Fund: General Purpose,PS32,REAL ESTATE,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,36758,2,Adjusted,36758
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85111,Admin: Economic & Workforce Development,1010,General Fund: General Purpose,SC11,"BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",52211,Stationery and Office Supplies,Services & Supplies,670,2,Adjusted,670
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85411,Economic Development,1010,General Fund: General Purpose,SC11,"BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",53117,Cell Phone,Services & Supplies,2400,2,Adjusted,2400
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,SC02,MARKETING & SPECIAL EVENTS,53117,Cell Phone,Services & Supplies,1000,2,Adjusted,1000
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85411,Economic Development,1010,General Fund: General Purpose,SC11,"BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",53116,Telephone,Services & Supplies,3120,2,Adjusted,3120
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85231,Real Estate,1010,General Fund: General Purpose,PS32,REAL ESTATE,53220,Leasehold Improvements,Services & Supplies,6760,2,Adjusted,6760
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,SC02,MARKETING & SPECIAL EVENTS,53212,Rental: Equipment (Other Than Office Equipment),Services & Supplies,200,2,Adjusted,200
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,SC02,MARKETING & SPECIAL EVENTS,53611,Postage and Mailing,Services & Supplies,500,2,Adjusted,500
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85411,Economic Development,1010,General Fund: General Purpose,SC11,"BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",54011,Contract Contingencies (Budgetary Only),Contract Services,35300,2,Adjusted,35300
FY16-17,Expense,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,1010,General Fund: General Purpose,SC02,MARKETING & SPECIAL EVENTS,55114,Per Diem and Lodging,Travel & Education,1000,2,Adjusted,1000
