Fiscal Year Range,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Program Code,Program Description,Account Type,Account Code,Account Category,Account Description,Amount,Amount as number,Budget Type,Budget Name
FY14-15,City Attorney,City Attorney,4311,Advisory,7120,Oakland Municipal Employees' Retirement System OMERS,IP18,ADVISORY SERVICES,Expense,51111,Civilian Salaries,Civilian: Regular,11309,11309,3,Proposed
FY14-15,City Attorney,City Attorney,4311,Advisory,7120,Oakland Municipal Employees' Retirement System OMERS,IP18,ADVISORY SERVICES,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,5709,5709,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,53316,Services & Supplies,Marketing,10000,10000,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,56123,Internal Services & Work Orders,City Accounting Services,1099,1099,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,54911,Contract Services,Services: Contract,9370,9370,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,54612,Contract Services,Service Contracts for Machinery and Equipment,800,800,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,52213,Services & Supplies,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",600,600,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,148498,148498,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,55311,Operation & Maintenance,Memberships: Employee Association Dues,600,600,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,55211,Operation & Maintenance,Periodical Subscriptions,100,100,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,55114,Operation & Maintenance,Per Diem and Lodging,400,400,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,54611,Contract Services,Repair and Maintenance: Machinery and Equipment,80,80,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,51313,Civilian Salaries,"Allowance: Auto Flat (1, 2, Partially 3)",6600,6600,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,53611,Services & Supplies,Postage and Mailing,40,40,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,53116,Services & Supplies,Telephone,5460,5460,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,52211,Services & Supplies,Stationery and Office Supplies,13240,13240,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,56124,Internal Services & Work Orders,City Contract Compliance Dept-Purchasing Services,155,155,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,56113,Internal Services & Work Orders,Facilities: General Support,176061,176061,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,55219,Operation & Maintenance,Miscellaneous Educational Expenditures,400,400,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,55212,Operation & Maintenance,Registration and Tuition,48030,48030,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,55113,Operation & Maintenance,Meals,200,200,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,56312,Internal Services & Work Orders,Duplicating,4000,4000,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,55119,Operation & Maintenance,"Miscellaneous Travel Expenditures (Tips, Parking)",200,200,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,51912,Sworn Salaries,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-167862,-167862,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,55112,Operation & Maintenance,Commercial Transportation,400,400,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,54930,Contract Services,Services: Professional,1630,1630,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,326282,326282,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,51111,Civilian Salaries,Civilian: Regular,682544,682544,3,Proposed
FY14-15,City Auditor,City Auditor,7111,City Auditor,1010,General Fund: General Purpose,IP54,AUDITING,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,241834,241834,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,55119,Operation & Maintenance,"Miscellaneous Travel Expenditures (Tips, Parking)",660,660,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,55114,Operation & Maintenance,Per Diem and Lodging,700,700,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,53219,Services & Supplies,Rental: Miscellaneous,800,800,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,52213,Services & Supplies,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",810,810,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,56113,Internal Services & Work Orders,Facilities: General Support,328946,328946,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,55311,Operation & Maintenance,Memberships: Employee Association Dues,380,380,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,54721,Contract Services,Advertising: Legal,14380,14380,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,53116,Services & Supplies,Telephone,3480,3480,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,120674,120674,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,88788,88788,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,51219,Civilian Salaries,Civilian: Overtime,11570,11570,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,54919,Contract Services,Services: Miscellaneous Contract,52956,52956,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,52911,Services & Supplies,Bottled Water and Food for Human Consumption,380,380,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,55211,Operation & Maintenance,Periodical Subscriptions,270,270,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,54711,Contract Services,Printing and Duplicating Services,22500,22500,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,56312,Internal Services & Work Orders,Duplicating,20350,20350,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,51111,Civilian Salaries,Civilian: Regular,239059,239059,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,54722,Contract Services,Advertising: Classified,10210,10210,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,54611,Contract Services,Repair and Maintenance: Machinery and Equipment,5240,5240,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,52211,Services & Supplies,Stationery and Office Supplies,4460,4460,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,56124,Internal Services & Work Orders,City Contract Compliance Dept-Purchasing Services,2268,2268,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,56123,Internal Services & Work Orders,City Accounting Services,955,955,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,51313,Civilian Salaries,"Allowance: Auto Flat (1, 2, Partially 3)",3780,3780,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,55212,Operation & Maintenance,Registration and Tuition,1080,1080,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,54612,Contract Services,Service Contracts for Machinery and Equipment,1140,1140,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,53611,Services & Supplies,Postage and Mailing,2660,2660,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,52212,Services & Supplies,"Minor Furniture and Office Equipment (No Asset Number, Not Capitalized)",780,780,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP14,AGENDA MANAGEMENT,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,66057,66057,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP15,ELECTIONS & POLITICAL COMPLIANCE,Expense,55212,Operation & Maintenance,Registration and Tuition,720,720,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP15,ELECTIONS & POLITICAL COMPLIANCE,Expense,55211,Operation & Maintenance,Periodical Subscriptions,180,180,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP15,ELECTIONS & POLITICAL COMPLIANCE,Expense,51111,Civilian Salaries,Civilian: Regular,87972,87972,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP15,ELECTIONS & POLITICAL COMPLIANCE,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,44408,44408,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP15,ELECTIONS & POLITICAL COMPLIANCE,Expense,53116,Services & Supplies,Telephone,2320,2320,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP15,ELECTIONS & POLITICAL COMPLIANCE,Expense,52213,Services & Supplies,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",2680,2680,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP15,ELECTIONS & POLITICAL COMPLIANCE,Expense,55311,Operation & Maintenance,Memberships: Employee Association Dues,250,250,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP15,ELECTIONS & POLITICAL COMPLIANCE,Expense,55119,Operation & Maintenance,"Miscellaneous Travel Expenditures (Tips, Parking)",440,440,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP15,ELECTIONS & POLITICAL COMPLIANCE,Expense,53611,Services & Supplies,Postage and Mailing,1770,1770,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP15,ELECTIONS & POLITICAL COMPLIANCE,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,32674,32674,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP15,ELECTIONS & POLITICAL COMPLIANCE,Expense,54611,Contract Services,Repair and Maintenance: Machinery and Equipment,90,90,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP15,ELECTIONS & POLITICAL COMPLIANCE,Expense,52211,Services & Supplies,Stationery and Office Supplies,1420,1420,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP15,ELECTIONS & POLITICAL COMPLIANCE,Expense,54612,Contract Services,Service Contracts for Machinery and Equipment,760,760,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP15,ELECTIONS & POLITICAL COMPLIANCE,Expense,53719,Services & Supplies,Miscellaneous Services,178435,178435,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP15,ELECTIONS & POLITICAL COMPLIANCE,Expense,52212,Services & Supplies,"Minor Furniture and Office Equipment (No Asset Number, Not Capitalized)",520,520,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP15,ELECTIONS & POLITICAL COMPLIANCE,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,24309,24309,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP16,CUSTOMER SERVICES/PUBLIC RELATIONS,Expense,52213,Services & Supplies,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",1390,1390,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP16,CUSTOMER SERVICES/PUBLIC RELATIONS,Expense,55212,Operation & Maintenance,Registration and Tuition,810,810,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP16,CUSTOMER SERVICES/PUBLIC RELATIONS,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,15664,15664,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP16,CUSTOMER SERVICES/PUBLIC RELATIONS,Expense,51111,Civilian Salaries,Civilian: Regular,56687,56687,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP16,CUSTOMER SERVICES/PUBLIC RELATIONS,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,21054,21054,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP16,CUSTOMER SERVICES/PUBLIC RELATIONS,Expense,54612,Contract Services,Service Contracts for Machinery and Equipment,850,850,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP16,CUSTOMER SERVICES/PUBLIC RELATIONS,Expense,55119,Operation & Maintenance,"Miscellaneous Travel Expenditures (Tips, Parking)",490,490,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP16,CUSTOMER SERVICES/PUBLIC RELATIONS,Expense,55311,Operation & Maintenance,Memberships: Employee Association Dues,280,280,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP16,CUSTOMER SERVICES/PUBLIC RELATIONS,Expense,54916,Contract Services,Services: Support,4750,4750,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP16,CUSTOMER SERVICES/PUBLIC RELATIONS,Expense,53116,Services & Supplies,Telephone,2600,2600,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP16,CUSTOMER SERVICES/PUBLIC RELATIONS,Expense,52211,Services & Supplies,Stationery and Office Supplies,2320,2320,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP16,CUSTOMER SERVICES/PUBLIC RELATIONS,Expense,55211,Operation & Maintenance,Periodical Subscriptions,200,200,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP16,CUSTOMER SERVICES/PUBLIC RELATIONS,Expense,54919,Contract Services,Services: Miscellaneous Contract,5220,5220,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP16,CUSTOMER SERVICES/PUBLIC RELATIONS,Expense,54611,Contract Services,Repair and Maintenance: Machinery and Equipment,150,150,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP16,CUSTOMER SERVICES/PUBLIC RELATIONS,Expense,53611,Services & Supplies,Postage and Mailing,1980,1980,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP16,CUSTOMER SERVICES/PUBLIC RELATIONS,Expense,52212,Services & Supplies,"Minor Furniture and Office Equipment (No Asset Number, Not Capitalized)",580,580,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP16,CUSTOMER SERVICES/PUBLIC RELATIONS,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,28615,28615,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP63,RECORS MANAGEMENT,Expense,55119,Operation & Maintenance,"Miscellaneous Travel Expenditures (Tips, Parking)",610,610,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP63,RECORS MANAGEMENT,Expense,55212,Operation & Maintenance,Registration and Tuition,990,990,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP63,RECORS MANAGEMENT,Expense,53116,Services & Supplies,Telephone,3200,3200,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP63,RECORS MANAGEMENT,Expense,51411,Sworn Salaries,Shift Pay,3936,3936,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP63,RECORS MANAGEMENT,Expense,55311,Operation & Maintenance,Memberships: Employee Association Dues,350,350,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP63,RECORS MANAGEMENT,Expense,52213,Services & Supplies,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",3690,3690,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP63,RECORS MANAGEMENT,Expense,54919,Contract Services,Services: Miscellaneous Contract,10340,10340,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP63,RECORS MANAGEMENT,Expense,54916,Contract Services,Services: Support,67760,67760,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP63,RECORS MANAGEMENT,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,42759,42759,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP63,RECORS MANAGEMENT,Expense,55211,Operation & Maintenance,Periodical Subscriptions,250,250,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP63,RECORS MANAGEMENT,Expense,54612,Contract Services,Service Contracts for Machinery and Equipment,1050,1050,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP63,RECORS MANAGEMENT,Expense,53611,Services & Supplies,Postage and Mailing,2440,2440,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP63,RECORS MANAGEMENT,Expense,52212,Services & Supplies,"Minor Furniture and Office Equipment (No Asset Number, Not Capitalized)",720,720,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP63,RECORS MANAGEMENT,Expense,54611,Contract Services,Repair and Maintenance: Machinery and Equipment,130,130,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP63,RECORS MANAGEMENT,Expense,51111,Civilian Salaries,Civilian: Regular,115127,115127,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP63,RECORS MANAGEMENT,Expense,52211,Services & Supplies,Stationery and Office Supplies,1830,1830,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP63,RECORS MANAGEMENT,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,31813,31813,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1010,General Fund: General Purpose,IP63,RECORS MANAGEMENT,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,58115,58115,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1610,Successor Redevelopment Agency Reimbursement Fund,IP14,AGENDA MANAGEMENT,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,5329,5329,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1610,Successor Redevelopment Agency Reimbursement Fund,IP14,AGENDA MANAGEMENT,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,9736,9736,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1610,Successor Redevelopment Agency Reimbursement Fund,IP14,AGENDA MANAGEMENT,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,7163,7163,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1610,Successor Redevelopment Agency Reimbursement Fund,IP14,AGENDA MANAGEMENT,Expense,51111,Civilian Salaries,Civilian: Regular,19291,19291,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1610,Successor Redevelopment Agency Reimbursement Fund,IP14,AGENDA MANAGEMENT,Expense,51313,Civilian Salaries,"Allowance: Auto Flat (1, 2, Partially 3)",420,420,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1610,Successor Redevelopment Agency Reimbursement Fund,IP15,ELECTIONS & POLITICAL COMPLIANCE,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,1110,1110,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1610,Successor Redevelopment Agency Reimbursement Fund,IP15,ELECTIONS & POLITICAL COMPLIANCE,Expense,51111,Civilian Salaries,Civilian: Regular,4019,4019,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1610,Successor Redevelopment Agency Reimbursement Fund,IP15,ELECTIONS & POLITICAL COMPLIANCE,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,2028,2028,3,Proposed
FY14-15,City Clerk,City Clerk,3121,City Clerk,1610,Successor Redevelopment Agency Reimbursement Fund,IP15,ELECTIONS & POLITICAL COMPLIANCE,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,1492,1492,3,Proposed
FY14-15,Police,Police Department,101110,Office of Chief: Administration,1010,General Fund: General Purpose,PS01,AGENCY-WIDE ADMINISTRATION,Expense,56113,Internal Services & Work Orders,Facilities: General Support,4296301,4296301,3,Proposed
FY14-15,Police,Police Department,101110,Office of Chief: Administration,1010,General Fund: General Purpose,PS01,AGENCY-WIDE ADMINISTRATION,Expense,55119,Operation & Maintenance,"Miscellaneous Travel Expenditures (Tips, Parking)",2500,2500,3,Proposed
FY14-15,Police,Police Department,101110,Office of Chief: Administration,1010,General Fund: General Purpose,PS01,AGENCY-WIDE ADMINISTRATION,Expense,51213,Sworn Salaries,Sworn: Holiday Overtime,3370,3370,3,Proposed
FY14-15,Police,Police Department,101110,Office of Chief: Administration,1010,General Fund: General Purpose,PS01,AGENCY-WIDE ADMINISTRATION,Expense,51612,Sworn Retirement,Sworn: Retirement Accrual,288173,288173,3,Proposed
FY14-15,Police,Police Department,101110,Office of Chief: Administration,1010,General Fund: General Purpose,PS01,AGENCY-WIDE ADMINISTRATION,Expense,51414,Sworn Salaries,Sworn: Education,79781,79781,3,Proposed
FY14-15,Police,Police Department,101110,Office of Chief: Administration,1010,General Fund: General Purpose,PS01,AGENCY-WIDE ADMINISTRATION,Expense,51428,Sworn Salaries,Premium: Bilingual,650,650,3,Proposed
FY14-15,Police,Police Department,101110,Office of Chief: Administration,1010,General Fund: General Purpose,PS01,AGENCY-WIDE ADMINISTRATION,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,63952,63952,3,Proposed
FY14-15,Police,Police Department,101110,Office of Chief: Administration,1010,General Fund: General Purpose,PS01,AGENCY-WIDE ADMINISTRATION,Revenue,44419,Service Charges,Other Rental: Miscellaneous,38496,38496,3,Proposed
FY14-15,Police,Police Department,101110,Office of Chief: Administration,1010,General Fund: General Purpose,PS01,AGENCY-WIDE ADMINISTRATION,Expense,51911,Sworn Salaries,Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement),4405130,4405130,3,Proposed
FY14-15,Police,Police Department,101110,Office of Chief: Administration,1010,General Fund: General Purpose,PS01,AGENCY-WIDE ADMINISTRATION,Expense,51512,Sworn Salaries,Sworn: Paid Leave Charge,136734,136734,3,Proposed
FY14-15,Police,Police Department,101110,Office of Chief: Administration,1010,General Fund: General Purpose,PS01,AGENCY-WIDE ADMINISTRATION,Expense,51614,Sworn Fringe Benefits,Sworn: Fringe Benefits Accrual,277056,277056,3,Proposed
FY14-15,Police,Police Department,101110,Office of Chief: Administration,1010,General Fund: General Purpose,PS01,AGENCY-WIDE ADMINISTRATION,Expense,51915,Sworn Salaries,Severance & Settlement Payments,600000,600000,3,Proposed
FY14-15,Police,Police Department,101110,Office of Chief: Administration,1010,General Fund: General Purpose,PS01,AGENCY-WIDE ADMINISTRATION,Expense,54919,Contract Services,Services: Miscellaneous Contract,795000,795000,3,Proposed
FY14-15,Police,Police Department,101110,Office of Chief: Administration,1010,General Fund: General Purpose,PS01,AGENCY-WIDE ADMINISTRATION,Expense,53116,Services & Supplies,Telephone,850000,850000,3,Proposed
FY14-15,Police,Police Department,101110,Office of Chief: Administration,1010,General Fund: General Purpose,PS01,AGENCY-WIDE ADMINISTRATION,Expense,51214,Sworn Salaries,Sworn: Overtime,2122100,2122100,3,Proposed
